# Complete French Dictionary
# Generated from story and phrases
# Format: word | English | [IPA]
# Total words: 1255

a-t-elle | does she | [atˈɛl]
nouveaux | new | [nuvˈo]
nouvelle | new | [nuvˈɛl]
novembre | November | [nɔvˈɑ̃bʁ]
noël | Christmas | [nɔˈɛl]
nuages | clouds | [nyˈaʒ]
nuit | night | [nyˈi]
nuit-là | that night | [nyˈilˈa]
nuits | nights | [nyˈi]
numéro | number | [nymeʁˈo]
nécessaire | necessary | [nesɛsˈɛʁ]
observe | observe | [ɔbsˈɛʁv]
obtenir | obtain | [ɔbtnˈiʁ]
oh | oh | [ˈɔ]
ont | have | [ˈɔ̃]
onze | eleven | [ˈɔ̃z]
opportunités | opportunities | [ɔpɔʁtynitˈe]
opposition | opposition | [ɔpozisjˈɔ̃]
optimiste | optimistic | [ɔptimˈist]
ordinaire | ordinary | [ɔʁdinˈɛʁ]
ordinateur | computer | [ɔʁdinatˈœʁ]
ordonnance | prescription | [ɔʁdɔnˈɑ̃s]
organisions | organized | [ɔʁɡanizjˈɔ̃]
orties | nettles | [ɔʁtˈi]
ou | or | [ˈu]
oublié | forgotten | [ubliˈe]
oui | yes | [wˈi]
ouvre | opens | [ˈuvʁ]
ouvrir | open | [uvʁˈiʁ]
où | where | [ˈu]
pain | bread | [pˈɛ̃]
paniquer | panic | [panikˈe]
panneaux | panels | [panˈo]
papier | paper | [papjˈe]
paquet-cadeau | gift package | [pakˈɛkadˈo]
par | by | [pˈaʁ]
pardon | sorry | [paʁdˈɔ̃]
pardonne | forgives | [paʁdˈɔn]
pardonne-moi | forgive me | [paʁdˈɔnmwˈa]
pareil | same | [paʁˈɛj]
parfait | perfect | [paʁfˈɛ]
parfois | sometimes | [paʁfwˈa]
paris | Paris | [paʁˈi]
parle | speaks | [pˈaʁl]
parler | to speak | [paʁlˈe]
parlez-vous | do you speak | [paʁlˈevˈu]
part | part | [pˈaʁ]
partagent | share | [paʁtˈaʒ]
parti | party | [paʁtˈi]
partie | part | [paʁtˈi]
parties | parts | [paʁtˈi]
partir | to leave | [paʁtˈiʁ]
partira | will leave | [paʁtiʁˈa]
partons | let's leave | [paʁtˈɔ̃]
partons-nous | shall we leave? | [paʁtˈɔ̃nˈu]
partout | everywhere | [paʁtˈu]
pas | not | [pˈa]
passent | pass | [pˈas]
passeport | passport | [paspˈɔʁ]
passer | to pass | [pasˈe]
patience | patience | [pasjˈɑ̃s]
patronne | female boss | [patʁˈɔn]
payer | to pay | [pɛjˈe]
payons | we pay | [pɛjˈɔ̃]
paysage | landscape | [pɛizˈaʒ]
peine | trouble | [pˈɛn]
pendant | during | [pɑ̃dˈɑ̃]
pensais | thought | [pɑ̃sˈɛ]
pense | think | [pˈɑ̃s]
perd | loses | [pˈɛʁ]
perdre | to lose | [pˈɛʁdʁ]
perdu | lost | [pɛʁdˈy]
perdue | lost (feminine) | [pɛʁdˈy]
permettra | will allow | [pɛʁmɛtʁˈa]
personne | nobody | [pɛʁsˈɔn]
personnes | people | [pɛʁsˈɔn]
perte | loss | [pˈɛʁt]
petit | small | [pətˈi]
petite | small (feminine) | [pətˈit]
peu | little | [pˈø]
peur | fear | [pˈœʁ]
peut | can | [pˈø]
peut-être | maybe | [pˈøtˈɛtʁ]
peux | can | [pˈø]
pharmacie | pharmacy | [faʁmasˈi]
photos | photos | [fɔtˈo]
pierre | stone | [pjˈɛʁ]
pin | pine | [pˈɛ̃]
piquent | sting | [pˈik]
piqûres | stings | [pikˈyːʁ]
pis | worse | [pˈi]
pittoresque | picturesque | [pitɔʁˈɛsk]
pièce | room | [pjˈɛs]
places | seats | [plˈas]
plafond | ceiling | [plafˈɔ̃]
plainte | complaint | [plˈɛ̃t]
plaisir | pleasure | [plɛzˈiʁ]
plantes | plants | [plˈɑ̃t]
plaît | pleases | [plˈɛ]
pleurant | crying | [pløʁˈɑ̃]
plus | more | [plˈy]
poche | pocket | [pˈɔʃ]
poches | pockets | [pˈɔʃ]
pointe | tip | [pwˈɛ̃t]
police | police | [pɔlˈis]
portable | portable | [pɔʁtˈabl]
portait | wore | [pɔʁtˈɛ]
porte | door | [pˈɔʁt]
portefeuille | wallet | [pɔʁtəfˈœj]
porter | carry | [pɔʁtˈe]
pose | pose | [pˈoz]
possibles | possible | [pɔsˈibl]
poste | post | [pˈɔst]
potable | drinkable | [pɔtˈabl]
pour | for | [pˈuʁ]
pourquoi | why | [puʁkwˈa]
pourrait | could | [puʁˈɛ]
pourriez-vous | could you | [puʁjˈevˈu]
pourvu | provided | [puʁvˈy]
pouvez | can | [puvˈe]
pouvez-vous | can you | [puvˈevˈu]
pouvions | could | [puvjˈɔ̃]
prend | takes | [pʁˈɑ̃]
prendre | take | [pʁˈɑ̃dʁ]
prends | take | [pʁˈɑ̃]
prenez | take | [pʁənˈe]
prennent | take | [pʁˈɛn]
prenons | take | [pʁənˈɔ̃]
presque | almost | [pʁˈɛskə]
pris | taken | [pʁˈi]
prix | price | [pʁˈi]
problème | problem | [pʁɔblˈɛm]
prochain | next | [pʁɔʃˈɛ̃]
proche | near | [pʁˈɔʃ]
professionnels | professionals | [pʁɔfɛsjɔnˈɛl]
profond | deep | [pʁɔfˈɔ̃]
profonde | deep | [pʁɔfˈɔ̃d]
profondément | deeply | [pʁɔfɔ̃demˈɑ̃]
promenade | walk | [pʁɔmnˈad]
promène | walks | [pʁɔmˈɛn]
promènent | walk | [pʁɔmˈɛn]
proposé | proposed | [pʁɔpozˈe]
propriétaire | owner | [pʁɔpʁietˈɛʁ]
protéger | protect | [pʁɔteʒˈe]
proximité | proximity | [pʁɔksimitˈe]
prudemment | carefully | [pʁydamˈɑ̃]
près | near | [pʁˈɛ]
précaution | precaution | [pʁekosjˈɔ̃]
préfères | prefer | [pʁefˈɛʁ]
préféré | favorite | [pʁefeʁˈe]
prépare | prepares | [pʁepˈaʁ]
prétendre | pretend | [pʁetˈɑ̃dʁ]
prévenu | warned | [pʁevnˈy]
prêt | ready | [pʁˈɛ]
prête | ready | [pʁˈɛt]
prêts | ready | [pʁˈɛ]
pu | could | [pˈy]
puis | then | [pyˈi]
pull | sweater | [pˈul]
pur | pure | [pˈyʁ]
pâtisseries | pastries | [patisəʁˈi]
père | father | [pˈɛʁ]
qu'avant | than before | [kavˈɑ̃]
qu'avons-nous | what have we | [kavˈɔ̃nˈu]
qu'elle | that she | [kˈɛl]
qu'est-ce | what is | [kˈɛs]
qu'il | that he | [kˈil]
qu'on | that we | [kˈɔ̃]
qu'à | than | [kˈa]
quai | platform | [kˈe]
qualifications | qualifications | [kalifikasjˈɔ̃]
quand | when | [kˈɑ̃]
quartier | neighborhood | [kaʁtjˈe]
quatre | four | [kˈatʁ]
quatrième | fourth | [katʁiˈɛm]
que | that | [kˈə]
quel | which | [kˈɛl]
quelle | which | [kˈɛl]
quelles | which | [kˈɛl]
quelqu'un | someone | [kɛlkˈœ̃]
quelque | some | [kˈɛlkə]
quelques | some | [kˈɛlkə]
quels | which | [kˈɛl]
question | question | [kɛstjˈɔ̃]
qui | who | [kˈi]
quinze | fifteen | [kˈɛ̃z]
quitté | left | [kitˈe]
quoi | what | [kwˈa]
racontera | will tell | [ʁakɔ̃tʁˈa]
raison | reason | [ʁɛzˈɔ̃]
randonnée | hike | [ʁɑ̃dɔnˈe]
randonnées | hikes | [ʁɑ̃dɔnˈe]
rapide | fast | [ʁapˈid]
rapidement | quickly | [ʁapidmˈɑ̃]
rappellent | remind | [ʁapˈɛl]
rapproche | approaches | [ʁapʁˈɔʃ]
recherche | research | [ʁəʃˈɛʁʃ]
recommandez | recommend | [ʁəkɔmɑ̃dˈe]
reconnais | recognize | [ʁəkɔnˈɛ]
reconnues | recognized | [ʁəkɔnˈy]
redescendent | descend | [ʁədɛsˈɑ̃d]
redresse | straightens up | [ʁədʁˈɛs]
refuge | refuge | [ʁəfˈyʒ]
regardant | watching | [ʁəɡaʁdˈɑ̃]
regarde | looks | [ʁəɡˈaʁd]
regardent | look | [ʁəɡˈaʁd]
regardez | look | [ʁəɡaʁdˈe]
regardé | looked | [ʁəɡaʁdˈe]
regrets | regrets | [ʁəɡʁˈɛ]
relation | relationship | [ʁəlasjˈɔ̃]
remarque | remark | [ʁəmˈaʁk]
remboursé | refunded | [ʁɑ̃buʁsˈe]
remplit | fills | [ʁɑ̃plˈi]
rencontres | meetings | [ʁɑ̃kˈɔ̃tʁ]
rend | gives | [ʁˈɑ̃]
rendent | make | [ʁˈɑ̃d]
rendez-vous | appointment | [ʁɑ̃dˈevˈu]
rentre | returns | [ʁˈɑ̃tʁ]
repartent | leave | [ʁəpˈaʁt]
reposez-vous | rest | [ʁəpozˈevˈu]
reprend | resumes | [ʁəpʁˈɑ̃]
reprenez | take up | [ʁəpʁənˈe]
reproche | reproach | [ʁəpʁˈɔʃ]
requises | required | [ʁəkˈiz]
respire | breathe | [ʁɛspˈiʁ]
ressens | feel | [ʁəsˈɛn]
reste | remains | [ʁˈɛst]
reste-t-il | is there any left | [ʁˈɛsttˈil]
restent | remain | [ʁˈɛst]
rester | stay | [ʁɛstˈe]
restiez | stayed | [ʁɛstjˈe]
restons | let's stay | [ʁɛstˈɔ̃]
retard | delay | [ʁətˈaʁ]
retour | return | [ʁətˈuʁ]
retourne | returns | [ʁətˈuʁn]
retrait | withdrawal | [ʁətʁˈɛ]
retrouverons | will find again | [ʁətʁuvʁˈɔ̃]
retrouvé | found | [ʁətʁuvˈe]
reviennent | come back | [ʁəvjˈɛn]
reviens | come back | [ʁəvjˈɛ̃]
revoir | goodbye | [ʁəvwˈaʁ]
revoit | sees again | [ʁəvwˈa]
ridées | wrinkled | [ʁidˈe]
rien | nothing | [ʁiˈɛ̃]
risque | risk | [ʁˈisk]
rochers | rocks | [ʁɔʃˈe]
rond | round | [ʁˈɔ̃]
rosiers | rose bushes | [ʁozjˈe]
rouge | red | [ʁˈuʒ]
rue | street | [ʁˈy]
rues | streets | [ʁˈy]
réalise | realizes | [ʁealˈiz]
réclamation | claim | [ʁeklamasjˈɔ̃]
réflexion | reflection | [ʁeflɛksjˈɔ̃]
réfléchir | to think | [ʁefleʃˈiʁ]
réfléchit | thinks | [ʁefleʃˈi]
répand | spreads | [ʁepˈɑ̃]
répandre | to spread | [ʁepˈɑ̃dʁ]
répond | answers | [ʁepˈɔ̃]
répéter | repeat | [ʁepetˈe]
réseau | network | [ʁezˈo]
réservation | reservation | [ʁezɛʁvasjˈɔ̃]
réserve | reserve | [ʁezˈɛʁv]
résonne | resonates | [ʁezˈɔn]
réunion | meeting | [ʁeynjˈɔ̃]
réunis | gathered | [ʁeynˈi]
réveiller | wake up | [ʁevɛjˈe]
rêve | dream | [ʁˈɛv]
rêves | dreams | [ʁˈɛv]
s'adresse | addresses | [sadʁˈɛs]
s'animer | comes to life | [sanimˈe]
s'approche | approaches | [sapʁˈɔʃ]
s'approchent | approach | [sapʁˈɔʃ]
s'arrête | stops | [saʁˈɛt]
s'asseoir | sit down | [saswˈaʁ]
s'assoient | sit | [saswˈa]
s'assoit | sits | [saswˈa]
s'embrassent | kiss each other | [sɑ̃bʁˈas]
s'en | of it | [sˈɑ̃]
s'est | has | [sˈɛ]
s'exclame | exclaims | [sɛksklˈam]
s'il | if | [sˈil]
s'ils | if | [sˈil]
s'orienter | orient | [sɔʁjɑ̃tˈe]
s'éloigne | moves away | [selwˈaɲ]
sa | her | [sˈa-]
sac | bag | [sˈak]
sacs | bags | [sˈak]
sains | healthy | [sˈɛ̃]
sais | know | [sˈɛ]
salaire | salary | [salˈɛʁ]
salle | room | [sˈal]
salut | hi | [salˈy]
sandwichs | sandwiches | [sɑ̃dwˈitʃ]
sans | without | [sˈɑ̃]
santé | health | [sɑ̃tˈe]
saufs | safe | [sˈof]
saurai | will know | [soʁˈe]
sauvé | saved | [sovˈe]
sauvée | saved | [sovˈe]
savent | know | [sˈav]
scène | scene | [sˈɛn]
scènes | scenes | [sˈɛn]
se | himself/herself/itself | [sˈə-]
seconde | second | [səɡˈɔ̃d]
secoue | shakes | [səkˈu]
secouriste | paramedic | [səkuʁˈist]
secouristes | paramedics | [səkuʁˈist]
secours | help | [səkˈuʁ]
seize | sixteen | [sˈɛz]
semaine | week | [səmˈɛn]
semble | seems | [sˈɑ̃bl]
sens | sense | [sˈɑ̃s]
sent | feels | [sˈɑ̃]
sentant | feeling | [sɑ̃tˈɑ̃]
sentier | path | [sɑ̃tjˈe]
sentir | to feel | [sɑ̃tˈiʁ]
sept | seven | [sˈɛt]
sera | will be | [səʁˈa]
serai | will be | [səʁˈe]
serez | will be | [səʁˈe]
serons | will be | [səʁˈɔ̃]
sert | serves | [sˈɛʁ]
serveur | waiter | [sɛʁvˈœʁ]
servi | served | [sɛʁvˈi]
service | service | [sɛʁvˈis]
ses | his/her/its | [sˈe-]
seule | only | [sˈœl]
seulement | only | [sølmˈɑ̃]
si | if | [sˈi]
signe | sign | [sˈiɲ]
signes | signs | [sˈinj]
signification | meaning | [siɲifikasjˈɔ̃]
signifie | means | [siɲifˈi]
silence | silence | [silˈɑ̃s]
simple | simple | [sˈɛ̃pl]
simplement | simply | [sɛ̃pləmˈɑ̃]
situation | situation | [sityasjˈɔ̃]
soir | evening | [swˈaʁ]
soirée | party | [swaʁˈe]
soit | either | [swˈa]
soixante | sixty | [swasˈɑ̃t]
solde | balance | [sˈɔld]
soleil | sun | [sɔlˈɛj]
solide | solid | [sɔlˈid]
solitudes | solitudes | [sɔlitˈyd]
sombre | dark | [sˈɔ̃bʁ]
sommes | are | [sˈɔm]
sommets | summits | [sɔmˈɛ]
son | his | [sˈɔ̃]
sons | sounds | [sˈɔ̃]
sont | are | [sˈɔ̃]
sont-elles | are they | [sˈɔ̃tˈɛl]
sophie | Sophie | [sɔfˈi]
sort | fate | [sˈɔʁ]
sortant | leaving | [sɔʁtˈɑ̃]
soudain | sudden | [sudˈɛ̃]
souffle | breath | [sˈufl]
souhaiterais | would like | [suɛtʁˈɛ]
soulagée | relieved | [sulaʒˈe]
soupe | soup | [sˈup]
soupire | sighs | [supˈiʁ]
source | source | [sˈuʁs]
sourire | smile | [suʁˈiʁ]
sourit | smiles | [suʁˈi]
sous | under | [sˈu]
souscrire | subscribe | [suskʁˈiʁ]
souvenirs | memories | [suvnˈiʁ]
soyons | let's be | [swajˈɔ̃]
spontanément | spontaneously | [spɔ̃tanemˈɑ̃]
structure | structure | [stʁyktˈyʁ]
stupides | stupid | [stypˈid]
su | knew | [sˈy]
submerge | overwhelms | [sybmˈɛʁʒ]
sucre | sugar | [sˈykʁ]
suis | am | [syˈi]
suit | follows | [syˈi]
suive | follow | [syˈiv]
suivent | follow | [syˈiv]
suivre | follow | [syˈivʁ]
sur | on | [sˈyʁ]
surgissent | arise | [syʁʒˈis]
surpris | surprised | [syʁpʁˈi]
surprise | surprise | [syʁpʁˈiz]
survie | survival | [syʁvˈi]
survivre | survive | [syʁvˈivʁ]
survécu | survived | [syʁvekˈy]
sécurité | security | [sekyʁitˈe]
séparation | separation | [sepaʁasjˈɔ̃]
séparent | separate | [sepˈaʁ]
séparons | separate | [sepaʁˈɔ̃]
séparés | separated | [sepaʁˈe]
sûr | sure | [sˈyːʁ]
sûrs | sure | [sˈyːʁ]
t'appelles | call yourself | [tapˈɛl]
t'avoir | to have you | [tavwˈaʁ]
t'inquiètes | worry | [tɛ̃kjˈɛt]
t'écouter | listen to you | [tekutˈe]
table | table | [tˈabl]
taille | size | [tˈaj]
tant | so much | [tˈɑ̃]
tard | late | [tˈaʁ]
taux | rate | [tˈo]
te | you | [tˈə-]
tellement | so much | [tɛlmˈɑ̃]
temps | time | [tˈɑ̃]
température | temperature | [tɑ̃peʁatˈyʁ]
tempêtes | storms | [tɑ̃pˈɛt]
tenant | holding | [tənˈɑ̃]
tendue | tense | [tɑ̃dˈy]
tendues | tense | [tɑ̃dˈy]
tentative | attempt | [tɑ̃tatˈiv]
terriblement | terribly | [tɛʁibləmˈɑ̃]
tgv | high-speed train | [tˌeʒˌevˈe]
thé | tea | [tˈe]
tiennent | hold | [tjˈɛn]
tiges | stems | [tˈiʒ]
tissu | fabric | [tisˈy]
toi | you | [twˈa]
toilettes | toilets | [twalˈɛt]
tomates | tomatoes | [tɔmˈat]
ton | your | [tˈɔ̃]
touche | touch | [tˈuʃ]
touchent | touch | [tˈuʃ]
toucher | touch | [tuʃˈe]
tourne | turns | [tˈuʁn]
tourner | turn | [tuʁnˈe]
tournez | turn | [tuʁnˈe]
tous | all | [tˈus]
tousse | cough | [tˈus]
tout | all | [tˈu]
toute | all | [tˈut]
toutes | all | [tˈut]
train | train | [tʁˈɛ̃]
trains | trains | [tʁˈɛ̃]
tranquille | quiet | [tʁɑ̃kˈil]
transformation | transformation | [tʁɑ̃sfɔʁmasjˈɔ̃]
transforme | transforms | [tʁɑ̃sfˈɔʁm]
transformée | transformed | [tʁɑ̃sfɔʁmˈe]
transférer | transfer | [tʁɑ̃sfeʁˈe]
transports | transports | [tʁɑ̃spˈɔʁ]
travail | work | [tʁavˈaj]
travers | across | [tʁavˈɛʁ]
tremblant | trembling | [tʁɑ̃blˈɑ̃]
tremblants | trembling | [tʁɑ̃blˈɑ̃]
tristesse | sadness | [tʁistˈɛs]
trois | three | [tʁwˈa]
trop | too | [tʁˈo]
trouve | finds | [tʁˈuv]
trouvent | find | [tʁˈuv]
trouver | find | [tʁuvˈe]
trouvé | found | [tʁuvˈe]
trouvée | found | [tʁuvˈe]
trouvés | found | [tʁuvˈe]
très | very | [tʁˈɛ]
tu | you | [tˈy]
téléphone | phone | [telefˈɔn]
téléphones | phones | [telefˈɔn]
tête | head | [tˈɛt]
un | a | [ˈœ̃]
une | a | [ˈyn]
utilisant | using | [ytilizˈɑ̃]
utilisé | used | [ytilizˈe]
va | goes | [vˈa]
vallonné | hilly | [valɔnˈe]
vallée | valley | [valˈe]
venons | come | [vənˈɔ̃]
vent | wind | [vˈɑ̃]
ventre | stomach | [vˈɑ̃tʁ]
venus | came | [vənˈy]
verrez | will see | [vɛʁˈe]
vers | towards | [vˈɛʁ]
vertes | green | [vˈɛʁt]
veste | jacket | [vˈɛst]
veut | wants | [vˈø]
veux | want | [vˈø]
veux-tu | do you want | [vˈøtˈy]
vie | life | [vˈi]
vieil | old | [vjˈɛj]
vieille | old | [vjˈɛj]
viens | come | [vjˈɛ̃]
vient | comes | [vjˈɛ̃]
vies | lives | [vˈi]
vieux | old | [vjˈø]
village | village | [vilˈaʒ]
ville | city | [vˈil]
vin | wine | [vˈɛ̃]
vins | wines | [vˈɛ̃]
virement | transfer | [viʁmˈɑ̃]
visage | face | [vizˈaʒ]
vite | quickly | [vˈit]
vivante | alive | [vivˈɑ̃t]
voici | here is | [vwasˈi]
voilà | there is | [vwalˈa]
vois | see | [vwˈa]
voit | sees | [vwˈa]
voix | voice | [vwˈa]
vol | theft | [vˈɔl]
volets | shutters | [vɔlˈɛ]
volontiers | gladly | [vɔlɔ̃tjˈe]
volé | stolen | [vɔlˈe]
votre | your | [vˈɔtʁ]
voudrais | would like | [vudʁˈɛ]
voulais | wanted | [vulˈɛ]
voulait | wanted | [vulˈɛ]
vous | you | [vˈu]
voyage | trip | [vwajˈaʒ]
voyager | to travel | [vwajaʒˈe]
voyons | let's see | [vwajˈɔ̃]
vrai | true | [vʁˈɛ]
vraiment | really | [vʁɛmˈɑ̃]
vu | seen | [vˈy]
vue | view | [vˈy]
vécu | lived | [vekˈy]
végétarien | vegetarian | [veʒetaʁjˈɛ̃]
végétarienne | vegetarian | [veʒetaʁjˈɛn]
vérifie | check | [veʁifˈi]
vérifier | to check | [veʁifjˈe]
vérifié | checked | [veʁifjˈe]
vérité | truth | [veʁitˈe]
vêtements | clothes | [vɛtmˈɑ̃]
wagon | wagon | [vaɡˈɔ̃]
yeux | eyes | [jˈø]
écoute | listen | [ekˈut]
éléments | elements | [elemˈɑ̃]
épais | thick | [epˈɛ]
épaisse | thick | [epˈɛs]
épicerie | grocery | [episʁˈi]
épreuve | test | [epʁˈøv]
épuisé | exhausted | [epyizˈe]
équipe | team | [ekˈip]
était | was | [etˈɛ]
était-ce | was it | [etˈɛs]
étiez | were | [etjˈe]
étions | were | [etjˈɔ̃]
étrange | strange | [etʁˈɑ̃ʒ]
étranges | strange | [etʁˈɑ̃ʒ]
étroites | narrow | [etʁwˈat]
été | summer | [etˈe]
êtes | are | [ˈɛt]
être | to be | [ˈɛtʁ]
