# Complete Spanish Dictionary
# Generated from story and phrases
# Format: word | [IPA]
# Total words: 1998

abajo | [aβˈaxo]
fwˈe | [ˈɛfe ˌuβe ðˈɔβle (en)stɹˈɛs(es) ˈe]
fácil | [fˈaθil]
fɾanθˈɛs | [ˈɛfe (en)ˈɑːtap(es) ˈa ˈɛne (en)θˈiːtə stɹˈɛs ˌəʊpənˈɛː(es) ˈɛse]
fˌeliθiðˈaðes | [ˈɛfe (en)sˈɛkəndɹɪstɹˌɛs(es) ˈe ˈɛle ˈi (en)θˈiːtə(es) ˈi ðˈe (en)stɹˈɛs(es) ˈa ðˈe ˈe ˈɛse]
gente | [xˈɛnte]
get | [xˈet]
gift-wrap | [xˈiftˌuβe ðˈɔβlerˈap]
gira | [xˈiɾa]
gire | [xˈiɾɛ]
gladly | [ɡlˈadli]
gluten | [ɡlˈutɛn]
gluten-free | [ɡlˈutɛmfɾˈi]
go | [ɡˈo]
golpe | [ɡˈɔlpe]
good | [ɡoˈɔd]
goodbye | [ɡoˈɔdβjje]
graba | [ɡɾˈaβa]
grabado | [ɡɾaβˈaðo]
gracias | [ɡɾˈaθjas]
gran | [ɡɾˈan]
granada | [ɡɾanˈaða]
grande | [ɡɾˈande]
granja | [ɡɾˈaŋxa]
granjero | [ɡɾaŋxˈɛɾɔ]
gratitud | [ɡɾˌatitˈud]
grenoble | [ɡɾenˈɔβle]
grita | [ɡɾˈita]
gritando | [ɡɾitˈando]
grupo | [ɡɾˈupo]
guiado | [ɡjˈaðo]
guió | [ɡjˈɔ]
gusta | [ɡˈusta]
gustaría | [ɡˌustaɾˈia]
gusto | [ɡˈusto]
guía | [ɡˈia]
ha | [ˈa]
haber | [aβˈɛɾ]
haberle | [aβˈɛɾle]
haberme | [aβˈɛɾme]
haberte | [aβˈɛɾte]
habitaciones | [ˌaβitaθjˈones]
habitación | [ˌaβitaθjˈɔn]
habla | [ˈaβla]
habladora | [ˌaβlaðˈɔɾa]
hablar | [aβlˈaɾ]
hablas | [ˈaβlas]
hablo | [ˈaβlo]
habría | [aβɾˈia]
había | [aβˈia]
hace | [ˈaθe]
hacen | [ˈaθɛn]
hacer | [aθˈɛɾ]
hacerles | [aθˈɛɾles]
hacerlo | [aθˈɛɾlo]
hacia | [ˈaθja]
haciendo | [aθjˈɛndo]
hago | [ˈaɣo]
hambre | [ˈambɾe]
han | [ˈan]
hang | [ˈaŋ]
happy | [ˈappi]
has | [ˈas]
hasta | [ˈasta]
have | [ˈaβe]
haven't | [aβˈɛnt]
hay | [ˈaɪ]
haya | [ˈajja]
he | [ˈe]
headache | [ˌeaðˈatʃe]
hecho | [ˈetʃo]
helicóptero | [ˌelikˈɔpːtɛɾɔ]
hello | [ˈeʎo]
help | [ˈelp]
hemos | [ˈemos]
here | [ˈɛɾɛ]
herir | [ɛɾˈiɾ]
hermoso | [ɛɾmˈoso]
hesitación | [ˌesitaθjˈɔn]
hi | [ˈi]
hice | [ˈiθe]
hierve | [jˈɛɾβe]
historia | [istˈɔɾja]
historias | [istˈɔɾjas]
hola | [ˈola]
hombre | [ˈɔmbɾe]
hombro | [ˈɔmbɾo]
hondo | [ˈɔndo]
hora | [ˈɔɾa]
horas | [ˈɔɾas]
hostal | [ɔstˈal]
hot | [ˈɔt]
how | [ˈɔw]
hoy | [ˈoɪ]
hubiera | [uβjˈɛɾa]
huir | [wˈiɾ]
humana | [umˈana]
humanas | [umˈanas]
húmeda | [ˈumeða]
i'm | [ˈim]
id | [ˈid]
ida | [ˈiða]
idea | [iðˈea]
identificación | [ˌiðɛntˌifikaθjˈɔn]
ido | [ˈiðo]
iglesia | [iɣlˈesja]
igual | [iɣwˈal]
ilumina | [ˌilumˈina]
ilusión | [ˌilusjˈɔn]
implica | [implˈika]
importa | [impˈɔɾta]
importante | [ˌimpɔɾtˈante]
imposible | [ˌimposˈiβle]
impresión | [ˌimpɾesjˈɔn]
impˈɔɾta | [ˈi ˈɛme pˈe (en)stɹˈɛs ˌəʊpənˈɔː ˈɑːtap(es) tˈe ˈa]
in | [ˈin]
incertidumbre | [ˌinθɛɾtiðˈumbɾe]
included | [ˌinkluðˈed]
incluido | [ˌinkluˈiðo]
incluidos | [ˌinkluˈiðos]
incluso | [inklˈuso]
increase | [ˌinkɾeˈase]
incrédula | [inkɾˈɛðula]
indicarme | [ˌindikˈaɾme]
indiferencia | [ˌindifɛɾˈɛnθja]
indiferente | [ˌindifɛɾˈɛnte]
indiferentes | [ˌindifɛɾˈɛntes]
inesperado | [ˌinespɛɾˈaðo]
infancia | [imfˈanθja]
informal | [ˌimfɔɾmˈal]
ingenuidad | [ˌiŋxenwiðˈad]
inglesa | [iŋɡlˈesa]
inglés | [iŋɡlˈɛs]
inmediatamente | [ˌinmeðjˌatamˈɛnte]
inocencia | [ˌinoθˈɛnθja]
inscripción | [ˌinskɾipθjˈɔn]
insiste | [insˈiste]
instantes | [instˈantes]
insurance | [ˌinsuɾˈanθe]
intencionalidad | [ˌintɛnθjˌonaliðˈad]
intención | [ˌintɛnθjˈɔn]
intenta | [intˈɛnta]
intento | [intˈɛnto]
interpreta | [ˌintɛɾpɾˈeta]
interpretar | [ˌintɛɾpɾetˈaɾ]
interpreto | [ˌintɛɾpɾˈeto]
inusual | [ˌinuswˈal]
inviernos | [imbjˈɛɾnos]
involuntaria | [ˌimboluntˈaɾja]
ir | [ˈiɾ]
iremos | [iɾˈɛmos]
irnos | [ˈiɾnos]
is | [ˈis]
it | [ˈit]
it's | [ˈits]
izquierda | [iθkjˈɛɾða]
iŋɡlˈesa | [ˈi ˈɛne xˈe ˈɛle (en)stɹˈɛs(es) ˈe ˈɛse ˈa]
iŋɡlˈɛs | [ˈi ˈɛne xˈe ˈɛle (en)stɹˈɛs ˌəʊpənˈɛː(es) ˈɛse]
iθkjˈɛɾða | [ˈi (en)θˈiːtə(es) kˈa xˈɔta (en)stɹˈɛs ˌəʊpənˈɛː ˈɑːtap(es) dˈe ˈa]
jamón | [xamˈɔn]
jardín | [xaɾðˈin]
jefe | [xˈefe]
jersey | [xɛɾsˈeɪ]
joven | [xˈoβɛn]
juntas | [xˈuntas]
junto | [xˈunto]
juntos | [xˈuntos]
justo | [xˈusto]
kaljˈɛnte | [kˈa ˈa ˈɛle xˈɔta (en)stɹˈɛs ˌəʊpənˈɛː(es) ˈɛne tˈe ˈe]
kambjˈaɾ | [kˈa ˈa ˈɛme βˈe xˈɔta (en)stɹˈɛs(es) ˈa (en)ˈɑːtap(es)]
kamˈino | [kˈa ˈa ˈɛme (en)stɹˈɛs(es) ˈi ˈɛne ˈo]
kaxˈɛɾɔ | [kˈa ˈa ˈɛkis (en)stɹˈɛs ˌəʊpənˈɛː ˈɑːtap ˌəʊpənˈɔː(es)]
kaɾɣˈaɾɔn | [kˈa ˈa (en)ˈɑːtap ɡˈamə stɹˈɛs(es) ˈa (en)ˈɑːtap ˌəʊpənˈɔː(es) ˈɛne]
kaβˈeθa | [kˈa ˈa (en)bˈiːtə stɹˈɛs(es) ˈe (en)θˈiːtə(es) ˈa]
ke | [kˈe]
keep | [keˈep]
key | [kˈeɪ]
kilo | [kˈilo]
kisjˈɛɾa | [kˈa ˈi ˈɛse xˈɔta (en)stɹˈɛs ˌəʊpənˈɛː ˈɑːtap(es) ˈa]
kiθˈas | [kˈa ˈi (en)θˈiːtə stɹˈɛs(es) ˈa ˈɛse]
kjˈɛɾɔ | [kˈa xˈɔta (en)stɹˈɛs ˌəʊpənˈɛː ˈɑːtap ˌəʊpənˈɔː(es)]
know | [kˈanˈɔw]
kolˈɔɾ | [kˈa ˈo ˈɛle (en)stɹˈɛs ˌəʊpənˈɔː ˈɑːtap(es)]
kwiðˈaðo | [kˈa ˌuβe ðˈɔβle ˈi ðˈe (en)stɹˈɛs(es) ˈa ðˈe ˈo]
kwˈal | [kˈa ˌuβe ðˈɔβle (en)stɹˈɛs(es) ˈa ˈɛle]
kwˈales | [kˈa ˌuβe ðˈɔβle (en)stɹˈɛs(es) ˈa ˈɛle ˈe ˈɛse]
kwˈando | [kˈa ˌuβe ðˈɔβle (en)stɹˈɛs(es) ˈa ˈɛne ðˈe ˈo]
kwˈantas | [kˈa ˌuβe ðˈɔβle (en)stɹˈɛs(es) ˈa ˈɛne tˈe ˈa ˈɛse]
kwˈanto | [kˈa ˌuβe ðˈɔβle (en)stɹˈɛs(es) ˈa ˈɛne tˈe ˈo]
kwˈesta | [kˈa ˌuβe ðˈɔβle (en)stɹˈɛs(es) ˈe ˈɛse tˈe ˈa]
kwˈɛnta | [kˈa ˌuβe ðˈɔβle (en)stɹˈɛs ˌəʊpənˈɛː(es) ˈɛne tˈe ˈa]
kɔmpɾˈaɾ | [kˈa (en)ˌəʊpənˈɔː(es) ˈɛme pˈe (en)ˈɑːtap stɹˈɛs(es) ˈa (en)ˈɑːtap(es)]
kɔn | [kˈɔn]
kɔrˈeo | [kˈa (en)ˌəʊpənˈɔː(es) ˈɛɾe (en)stɹˈɛs(es) ˈe ˈo]
kɔŋ | [kˈɔn]
kɾˈɛðito | [kˈa (en)ˈɑːtap stɹˈɛs ˌəʊpənˈɛː(es) dˈe ˈi tˈe ˈo]
kˈambjo | [kˈa (en)stɹˈɛs(es) ˈa ˈɛme βˈe xˈɔta ˈo]
kˈaɾɔ | [kˈa (en)stɹˈɛs(es) ˈa (en)ˈɑːtap ˌəʊpənˈɔː(es)]
kˈexa | [kˈa (en)stɹˈɛs(es) ˈe ˈɛkis ˈa]
kˈuβɾe | [kˈa (en)stɹˈɛs(es) ˈu (en)bˈiːtə ˈɑːtap(es) ˈe]
kˈɔmo | [kˈa (en)stɹˈɛs ˌəʊpənˈɔː(es) ˈɛme ˈo]
kˈɔstos | [kˈa (en)stɹˈɛs ˌəʊpənˈɔː(es) ˈɛse tˈe ˈo ˈɛse]
kˈɔðiɣo | [kˈa (en)stɹˈɛs ˌəʊpənˈɔː(es) dˈe ˈi (en)ɡˈamə(es) ˈo]
kˈɛ | [kˈa (en)stɹˈɛs ˌəʊpənˈɛː(es)]
kˈɛðese | [kˈa (en)stɹˈɛs ˌəʊpənˈɛː(es) dˈe ˈe ˈɛse ˈe]
kˌakawˈetes | [kˈa (en)sˈɛkəndɹɪstɹˌɛs(es) ˈa kˈa ˈa ˌuβe ðˈɔβle (en)stɹˈɛs(es) ˈe tˈe ˈe ˈɛse]
kˌalifˌikaθjˈones | [kˈa (en)sˈɛkəndɹɪstɹˌɛs(es) ˈa ˈɛle ˈi ˈɛfe (en)sˈɛkəndɹɪstɹˌɛs(es) ˈi kˈa ˈa (en)θˈiːtə(es) xˈɔta (en)stɹˈɛs(es) ˈo ˈɛne ˈe ˈɛse]
kˌanθelaθjˈɔn | [kˈa (en)sˈɛkəndɹɪstɹˌɛs(es) ˈa ˈɛne (en)θˈiːtə(es) ˈe ˈɛle ˈa (en)θˈiːtə(es) xˈɔta (en)stɹˈɛs ˌəʊpənˈɔː(es) ˈɛne]
kˌanθelˈaðo | [kˈa (en)sˈɛkəndɹɪstɹˌɛs(es) ˈa ˈɛne (en)θˈiːtə(es) ˈe ˈɛle (en)stɹˈɛs(es) ˈa ðˈe ˈo]
kˌanθelˈaɾ | [kˈa (en)sˈɛkəndɹɪstɹˌɛs(es) ˈa ˈɛne (en)θˈiːtə(es) ˈe ˈɛle (en)stɹˈɛs(es) ˈa (en)ˈɑːtap(es)]
kˌomisaɾˈia | [kˈa (en)sˈɛkəndɹɪstɹˌɛs(es) ˈo ˈɛme ˈi ˈɛse ˈa (en)ˈɑːtap stɹˈɛs(es) ˈi ˈa]
kˌumpleˈaɲos | [kˈa (en)sˈɛkəndɹɪstɹˌɛs(es) ˈu ˈɛme pˈe ˈɛle ˈe (en)stɹˈɛs(es) ˈa (en)ɲˈɛ(es) ˈo ˈɛse]
kˌɔmfiɾmaθjˈɔn | [kˈa (en)sˈɛkəndɹɪstɹˌɛs ˌəʊpənˈɔː(es) ˈɛme ˈɛfe ˈi (en)ˈɑːtap(es) ˈɛme ˈa (en)θˈiːtə(es) xˈɔta (en)stɹˈɛs ˌəʊpənˈɔː(es) ˈɛne]
kˌɔmfiɾmˈaɾme | [kˈa (en)sˈɛkəndɹɪstɹˌɛs ˌəʊpənˈɔː(es) ˈɛme ˈɛfe ˈi (en)ˈɑːtap(es) ˈɛme (en)stɹˈɛs(es) ˈa (en)ˈɑːtap(es) ˈɛme ˈe]
kˌɔnsultˈaɾ | [kˈa (en)sˈɛkəndɹɪstɹˌɛs ˌəʊpənˈɔː(es) ˈɛne ˈɛse ˈu ˈɛle tˈe (en)stɹˈɛs(es) ˈa (en)ˈɑːtap(es)]
kˌɔntaktˈaɾlos | [kˈa (en)sˈɛkəndɹɪstɹˌɛs ˌəʊpənˈɔː(es) ˈɛne tˈe ˈa kˈa tˈe (en)stɹˈɛs(es) ˈa (en)ˈɑːtap(es) ˈɛle ˈo ˈɛse]
kˌɔntɾatˈaɾ | [kˈa (en)sˈɛkəndɹɪstɹˌɛs ˌəʊpənˈɔː(es) ˈɛne tˈe (en)ˈɑːtap(es) ˈa tˈe (en)stɹˈɛs(es) ˈa (en)ˈɑːtap(es)]
la | [lˈa]
lado | [lˈaðo]
larga | [lˈaɾɣa]
larger | [laɾxˈɛɾ]
largo | [lˈaɾɣo]
las | [lˈas]
late | [lˈate]
later | [latˈɛɾ]
le | [lˈe]
leave | [leˈaβe]
leche | [lˈetʃe]
leer | [leˈɛɾ]
left | [lˈeft]
lejos | [lˈexos]
lentamente | [lˌɛntamˈɛnte]
les | [lˈes]
let's | [lˈets]
levanta | [leβˈanta]
levantado | [lˌeβantˈaðo]
leña | [lˈeɲa]
libre | [lˈiβɾe]
libres | [lˈiβɾes]
libro | [lˈiβɾo]
like | [lˈike]
limit | [limˈit]
linterna | [lintˈɛɾna]
lista | [lˈista]
listas | [lˈistas]
listo | [lˈisto]
little | [lˈittle]
live | [lˈaɪβ]
llama | [ʎˈama]
llamar | [ʎamˈaɾ]
llamas | [ʎˈamas]
llamo | [ʎˈamo]
llave | [ʎˈaβe]
llega | [ʎˈeɣa]
llegada | [ʎeɣˈaða]
llegado | [ʎeɣˈaðo]
llegamos | [ʎeɣˈamos]
llegan | [ʎˈeɣan]
llegar | [ʎeɣˈaɾ]
llegaremos | [ʎˌeɣaɾˈɛmos]
llegaron | [ʎeɣˈaɾɔn]
llegará | [ʎˌeɣaɾˈa]
llena | [ʎˈena]
lleva | [ʎˈeβa]
llevaba | [ʎeβˈaβa]
llevamos | [ʎeβˈamos]
llevar | [ʎeβˈaɾ]
llevemos | [ʎeβˈemos]
lleven | [ʎˈeβɛn]
llevábamos | [ʎeβˈaβamos]
llorando | [ʎɔɾˈando]
lo | [lˈo]
loaded | [lˌoaðˈed]
local | [lokˈal]
loco | [lˈoko]
london | [lˈɔndɔn]
londres | [lˈɔndɾes]
long | [lˈɔŋ]
looking | [loˈokiŋ]
los | [lˈos]
lost | [lˈɔst]
lot | [lˈɔt]
lucas | [lˈukas]
luck | [lˈuk]
luego | [luˈeɣo]
lugar | [luɣˈaɾ]
luggage | [luɡɣˈaxe]
luz | [lˈuθ]
límite | [lˈimite]
lˈaðo | [ˈɛle (en)stɹˈɛs(es) ˈa ðˈe ˈo]
lˈexos | [ˈɛle (en)stɹˈɛs(es) ˈe ˈɛkis ˈo ˈɛse]
lˈimite | [ˈɛle (en)stɹˈɛs(es) ˈi ˈɛme ˈi tˈe ˈe]
lˈɔndɾes | [ˈɛle (en)stɹˈɛs ˌəʊpənˈɔː(es) ˈɛne ðˈe (en)ˈɑːtap(es) ˈe ˈɛse]
madera | [maðˈɛɾa]
madrid | [maðɾˈid]
madrileño | [mˌaðɾilˈeɲo]
magníficas | [maɡnˈifikas]
magnífico | [maɡnˈifiko]
maja | [mˈaxa]
make | [mˈake]
mal | [mˈal]
mala | [mˈala]
malasaña | [mˌalasˈaɲa]
maletas | [malˈetas]
manantial | [mˌanantjˈal]
mano | [mˈano]
manos | [mˈanos]
manta | [mˈanta]
mantengas | [mantˈɛŋɡas]
many | [mˈani]
mapa | [mˈapa]
mar | [mˈaɾ]
maravilla | [mˌaɾaβˈiʎa]
marc | [mˈaɾk]
marcha | [mˈaɾtʃa]
maybe | [mˈaɪβe]
mañana | [maɲˈana]
maɲˈana | [ˈɛme ˈa (en)ɲˈɛ stɹˈɛs(es) ˈa ˈɛne ˈa]
me | [mˈe]
meal | [meˈal]
mean | [mˈean]
media | [mˈeðja]
mediana | [meðjˈana]
meet | [meˈet]
mejor | [mexˈɔɾ]
melancolía | [mˌelankolˈia]
menos | [mˈenos]
mensual | [mɛnswˈal]
mensuales | [mɛnswˈales]
mente | [mˈɛnte]
menu | [mˈenu]
menú | [menˈu]
menˈu | [ˈɛme ˈe ˈɛne (en)stɹˈɛs(es) ˈu]
merry | [mˈɛri]
mesa | [mˈesa]
metro | [mˈetɾo]
metros | [mˈetɾos]
mexˈɔɾ | [ˈɛme ˈe ˈɛkis (en)stɹˈɛs ˌəʊpənˈɔː ˈɑːtap(es)]
mezcla | [mˈeθkla]
mi | [mˈi]
miedo | [mjˈeðo]
mientras | [mjˈɛntɾas]
mind | [mˈind]
minutos | [minˈutos]
mira | [mˈiɾa]
mirado | [miɾˈaðo]
miran | [mˈiɾan]
mirando | [miɾˈando]
misma | [mˈisma]
mismos | [mˈismos]
misteriosa | [mˌistɛɾjˈosa]
mochila | [motʃˈila]
mochilas | [motʃˈilas]
moment | [momˈɛnt]
momento | [momˈɛnto]
momentos | [momˈɛntos]
momˈɛnto | [ˈɛme ˈo ˈɛme (en)stɹˈɛs ˌəʊpənˈɛː(es) ˈɛne tˈe ˈo]
money | [monˈeɪ]
mont | [mˈɔnt]
montaña | [mɔntˈaɲa]
montañas | [mɔntˈaɲas]
montañoso | [mˌɔntaɲˈoso]
month | [mˈɔnt]
monthly | [mˈɔntli]
monto | [mˈɔnto]
monótona | [monˈɔtona]
more | [mˈɔɾɛ]
moreno | [mɔɾˈɛno]
mostrador | [mˌɔstɾaðˈɔɾ]
mostrarme | [mɔstɾˈaɾme]
mostrándole | [mɔstɾˈandole]
motor | [motˈɔɾ]
much | [mˈutʃ]
mucha | [mˈutʃa]
muchas | [mˈutʃas]
mucho | [mˈutʃo]
muchísimo | [mutʃˈisimo]
muestra | [mwˈestɾa]
muestres | [mwˈestɾes]
mujer | [muxˈɛɾ]
mundo | [mˈundo]
muy | [mˈujj]
my | [mˈi]
más | [mˈas]
médica | [mˈɛðika]
médico | [mˈɛðiko]
mí | [mˈi]
móvil | [mˈɔβil]
mɛnswˈal | [ˈɛme (en)ˌəʊpənˈɛː(es) ˈɛne ˈɛse ˌuβe ðˈɔβle (en)stɹˈɛs(es) ˈa ˈɛle]
mɛnswˈales | [ˈɛme (en)ˌəʊpənˈɛː(es) ˈɛne ˈɛse ˌuβe ðˈɔβle (en)stɹˈɛs(es) ˈa ˈɛle ˈe ˈɛse]
mˈal | [ˈɛme (en)stɹˈɛs(es) ˈa ˈɛle]
mˈas | [ˈɛme (en)stɹˈɛs(es) ˈa ˈɛse]
mˈesa | [ˈɛme (en)stɹˈɛs(es) ˈe ˈɛse ˈa]
mˈujj | [ˈɛme (en)stɹˈɛs(es) ˈu xˈɔta xˈɔta]
mˈutʃo | [ˈɛme (en)stɹˈɛs(es) ˈu tˈe (en)ˈɛʃ(es) ˈo]
mˈɔnto | [ˈɛme (en)stɹˈɛs ˌəʊpənˈɔː(es) ˈɛne tˈe ˈo]
mˈɛðika | [ˈɛme (en)stɹˈɛs ˌəʊpənˈɛː(es) dˈe ˈi kˈa ˈa]
mˈɛðiko | [ˈɛme (en)stɹˈɛs ˌəʊpənˈɛː(es) dˈe ˈi kˈa ˈo]
nada | [nˈaða]
name | [nˈame]
naturaleza | [nˌatuɾalˈeθa]
navidad | [nˌaβiðˈad]
near | [neˈaɾ]
nearby | [neˈaɾβi]
nearest | [nˌeaɾˈɛst]
necesario | [nˌeθesˈaɾjo]
necesarios | [nˌeθesˈaɾjos]
necesidad | [nˌeθesiðˈad]
necesita | [nˌeθesˈita]
necesitamos | [nˌeθesitˈamos]
necesitan | [nˌeθesˈitan]
necesito | [nˌeθesˈito]
need | [neˈed]
needed | [nˌeeðˈed]
negro | [nˈeɣɾo]
neighborhood | [nˌeɪɣβoɾoˈɔd]
nerviosidad | [nˌɛɾβjosiðˈad]
nervioso | [nɛɾβjˈoso]
nevadas | [neβˈaðas]
nevados | [neβˈaðos]
never | [neβˈɛɾ]
new | [nˈew]
next | [nˈekst]
ni | [nˈi]
nice | [nˈiθe]
niebla | [njˈeβla]
night | [nˈiɣt]
nights | [nˈiɣts]
no | [nˈo]
noche | [nˈotʃe]
noches | [nˈotʃes]
noción | [noθjˈɔn]
nombre | [nˈɔmbɾe]
normal | [nɔɾmˈal]
normandía | [nˌɔɾmandˈia]
nos | [nˈos]
not | [nˈɔt]
nota | [nˈota]
notarse | [notˈaɾse]
noviembre | [noβjˈembɾe]
now | [nˈɔw]
nubes | [nˈuβes]
nuestra | [nwˈestɾa]
nuestras | [nwˈestɾas]
nuestro | [nwˈestɾo]
nuestros | [nwˈestɾos]
nueva | [nwˈeβa]
nuevo | [nwˈeβo]
nuevos | [nwˈeβos]
number | [numbˈɛɾ]
nunca | [nˈunka]
nwˈeβo | [ˈɛne ˌuβe ðˈɔβle (en)stɹˈɛs(es) ˈe (en)bˈiːtə(es) ˈo]
número | [nˈumɛɾɔ]
nˈaða | [ˈɛne (en)stɹˈɛs(es) ˈa ðˈe ˈa]
nˈo | [ˈɛne (en)stɹˈɛs(es) ˈo]
nˈotʃe | [ˈɛne (en)stɹˈɛs(es) ˈo tˈe (en)ˈɛʃ(es) ˈe]
nˈotʃes | [ˈɛne (en)stɹˈɛs(es) ˈo tˈe (en)ˈɛʃ(es) ˈe ˈɛse]
nˈumɛɾɔ | [ˈɛne (en)stɹˈɛs(es) ˈu ˈɛme (en)ˌəʊpənˈɛː ˈɑːtap ˌəʊpənˈɔː(es)]
nˈɔmbɾe | [ˈɛne (en)stɹˈɛs ˌəʊpənˈɔː(es) ˈɛme βˈe (en)ˈɑːtap(es) ˈe]
nˌaβiðˈad | [ˈɛne (en)sˈɛkəndɹɪstɹˌɛs(es) ˈa (en)bˈiːtə(es) ˈi ðˈe (en)stɹˈɛs(es) ˈa ðˈe]
nˌeθesˈaɾjos | [ˈɛne (en)sˈɛkəndɹɪstɹˌɛs(es) ˈe (en)θˈiːtə(es) ˈe ˈɛse (en)stɹˈɛs(es) ˈa (en)ˈɑːtap(es) xˈɔta ˈo ˈɛse]
nˌeθesˈitan | [ˈɛne (en)sˈɛkəndɹɪstɹˌɛs(es) ˈe (en)θˈiːtə(es) ˈe ˈɛse (en)stɹˈɛs(es) ˈi tˈe ˈa ˈɛne]
nˌeθesˈito | [ˈɛne (en)sˈɛkəndɹɪstɹˌɛs(es) ˈe (en)θˈiːtə(es) ˈe ˈɛse (en)stɹˈɛs(es) ˈi tˈe ˈo]
o'clock | [oklˈɔk]
objetos | [ɔβxˈetos]
observa | [ɔβsˈɛɾβa]
observan | [ɔβsˈɛɾβan]
obtener | [ˌɔbtenˈɛɾ]
oferta | [ofˈɛɾta]
offered | [ˌɔffɛɾˈɛd]
office | [ˈofis]
oficina | [ˌofiθˈina]
ofrece | [ɔfɾˈeθe]
ofrecido | [ˌɔfɾeθˈiðo]
ofˈɛɾta | [ˈo ˈɛfe (en)stɹˈɛs ˌəʊpənˈɛː ˈɑːtap(es) tˈe ˈa]
oh | [ˈɔ]
oigo | [ˈoɪɣo]
ojalá | [ˌoxalˈa]
ojos | [ˈoxos]
okay | [okˈaɪ]
olor | [olˈɔɾ]
olvidado | [ˌɔlβiðˈaðo]
olvides | [ɔlβˈiðes]
olvidé | [ˌɔlβiðˈɛ]
on | [ˈɔn]
once | [ˈɔnθe]
one | [ˈone]
one-way | [ˈonewˈaɪ]
opción | [ɔpθjˈɔn]
open | [ˈopɛn]
oportunidades | [ˌopɔɾtˌuniðˈaðes]
opportunities | [ˌɔppɔɾtunˈitjes]
opposite | [ˌɔpposˈite]
optimista | [ˌɔpːtimˈista]
or | [ˈɔɾ]
ordenador | [ˌɔɾðenaðˈɔɾ]
ordinario | [ˌɔɾðinˈaɾjo]
organiza | [ˌɔɾɣanˈiθa]
organizar | [ˌɔɾɣaniθˈaɾ]
orientación | [ˌɔɾjɛntaθjˈɔn]
orientarse | [ˌɔɾjɛntˈaɾse]
ortigas | [ɔɾtˈiɣas]
os | [ˈos]
oscura | [ɔskˈuɾa]
otra | [ˈɔtɾa]
otro | [ˈɔtɾo]
out | [ˈowt]
over | [oβˈɛɾ]
oye | [ˈojje]
paciencia | [paθjˈɛnθja]
padre | [pˈaðɾe]
pagamos | [paɣˈamos]
pagar | [paɣˈaɾ]
paisaje | [paɪsˈaxe]
palabras | [palˈaβɾas]
palma | [pˈalma]
pan | [pˈan]
panadera | [pˌanaðˈɛɾa]
panadería | [pˌanaðɛɾˈia]
papel | [papˈel]
para | [pˈaɾa]
parada | [paɾˈaða]
pardon | [pˈaɾðɔn]
parece | [paɾˈɛθe]
pared | [paɾˈɛd]
paredes | [paɾˈɛðes]
paris | [pˈaɾis]
parte | [pˈaɾte]
partes | [pˈaɾtes]
partida | [paɾtˈiða]
partir | [paɾtˈiɾ]
partirá | [pˌaɾtiɾˈa]
parís | [paɾˈis]
pasa | [pˈasa]
pasan | [pˈasan]
pasando | [pasˈando]
pasaporte | [pˌasapˈɔɾte]
pase | [pˈase]
pasea | [pasˈea]
pasean | [pasˈean]
paseo | [pasˈeo]
passport | [passpˈɔɾt]
pasteles | [pastˈeles]
pastor | [pastˈɔɾ]
pay | [pˈaɪ]
paɣˈaɾ | [pˈe ˈa (en)ɡˈamə stɹˈɛs(es) ˈa (en)ˈɑːtap(es)]
paɾˈaða | [pˈe ˈa (en)ˈɑːtap stɹˈɛs(es) ˈa ðˈe ˈa]
paɾˈis | [pˈe ˈa (en)ˈɑːtap stɹˈɛs(es) ˈi ˈɛse]
peanuts | [pˌeanˈuts]
pedido | [peðˈiðo]
pedidos | [peðˈiðos]
pensaba | [pɛnsˈaβa]
pensar | [pɛnsˈaɾ]
people | [peˈɔple]
pequeña | [pekˈeɲa]
pequeño | [pekˈeɲo]
per | [pˈɛɾ]
perder | [pɛɾðˈɛɾ]
perderla | [pɛɾðˈɛɾla]
perderte | [pɛɾðˈɛɾte]
perdida | [pɛɾðˈiða]
perdido | [pɛɾðˈiðo]
perdidos | [pɛɾðˈiðos]
perdona | [pɛɾðˈona]
perdérsela | [pɛɾðˈɛɾsela]
perdón | [pɛɾðˈɔn]
perdóname | [pɛɾðˈɔname]
perfecto | [pɛɾfˈekto]
permanecen | [pˌɛɾmanˈeθɛn]
permanecido | [pˌɛɾmaneθˈiðo]
permita | [pɛɾmˈita]
pero | [pˈɛɾɔ]
perro | [pˈɛro]
persianas | [pɛɾsjˈanas]
persona | [pɛɾsˈona]
personas | [pɛɾsˈonas]
pharmacy | [faɾmˈaθi]
phone | [fˈone]
picaduras | [pˌikaðˈuɾas]
pican | [pˈikan]
picos | [pˈikos]
pide | [pˈiðe]
piedra | [pjˈeðɾa]
piensa | [pjˈɛnsa]
pierde | [pjˈɛɾðe]
pin | [pˈin]
pintoresco | [pˌintɔɾˈɛsko]
pirineos | [pˌiɾinˈeos]
piso | [pˈiso]
plantas | [plˈantas]
please | [pleˈase]
pleasure | [plˌeasˈuɾɛ]
poco | [pˈoko]
podemos | [poðˈemos]
podido | [poðˈiðo]
podría | [pɔðɾˈia]
podríamos | [pɔðɾˈiamos]
podíamos | [poðˈiamos]
police | [polˈiθe]
policía | [pˌoliθˈia]
pone | [pˈone]
por | [pˈɔɾ]
portátil | [pɔɾtˈatil]
posada | [posˈaða]
