# Complete Italian Dictionary
# Generated from story and phrases
# Format: word | English | [IPA]
# Total words: 1418

abbandonarla | to abandon her | [ˌabːandonˈaːrla]
mese | month | [mˈɛːze]
metri | meters | [mˈeːtrɪ]
metro | subway | [mˈeːtro]
metropolitana | subway | [mˌɛtropˌɔlitˈaːna]
mette | puts | [mˈetːe]
mezz'ora | half an hour | [medzːˈɔːra]
mezza | half | [mˈɛdzːa]
mi | me | [mˈi]
mia | my | [mˈia]
miei | my | [mjˈɛj]
mille | thousand | [mˈille]
minaccioso | threatening | [mˌinatʃːˈoːzo]
minuti | minutes | [minˈuːtɪ]
minuto | minute | [minˈuːto]
mio | my | [mˈio]
misteriosa | mysterious | [mˌisteriˈɔːza]
molta | much | [mˈolta]
molte | many | [mˈolte]
molto | very | [mˈolto]
momento | moment | [momˈento]
monotona | monotonous | [mˌonotˈoːna]
montagna | mountain | [montˈaɲɲa]
montagne | mountains | [montˈaɲɲe]
monte | mount | [mˈonte]
mostra | show | [mˈostra]
mostrarmi | show me | [mostrˈaːrmɪ]
mostrava | showed | [mostrˈaːva]
mostri | monsters | [mˈostrɪ]
mostriate | show yourselves | [mˌɔstriˈaːte]
motore | engine | [motˈoːre]
muri | walls | [mˈuːrɪ]
muro | wall | [mˈuːro]
natale | Christmas | [natˈaːle]
natura | nature | [natˈuːra]
ne | in it | [nˈe]
neanche | not even | [neˈanke]
nebbia | fog | [nˈebːia]
necessari | necessary | [nˌetʃessˈaːrɪ]
necessario | necessary | [nˌetʃessˈario]
necessità | necessity | [nˌetʃessitˈa]
negozio | store | [neɡˈɔtsio]
nel | in | [nˈɛl]
nell'appartamento | in the apartment | [nellˌapːartamˈento]
nell'incertezza | in the uncertainty | [nellˌintʃertˈetsːa]
nell'osteria | in the tavern | [nellˌɔsterˈiːa]
nella | in the | [nˈɛlla]
nelle | in the | [nˈɛlle]
nemmeno | not even | [nemmˈeːno]
nero | black | [nˈeːro]
nervosità | nervousness | [nˌɛrvozitˈa]
nervoso | nervous | [nervˈoːzo]
nessun | no | [nessˈun]
niente | nothing | [njˈɛnte]
noi | we | [nˈɔɪ]
nome | name | [nˈoːme]
non | not | [nˈon]
nonna | grandmother | [nˈɔnna]
normale | normal | [normˈaːle]
normandia | Normandy | [nˌɔrmandˈiːa]
nostra | our | [nˈɔstra]
nostre | our | [nˈɔstre]
nostri | our | [nˈɔstrɪ]
nostro | our | [nˈɔstro]
nota | note | [nˈɔːta]
notte | night | [nˈɔtːe]
notti | nights | [nˈɔtːɪ]
novembre | November | [novˈɛmbre]
nozione | notion | [nˌɔtsiˈɔːne]
nulla | nothing | [nˈulla]
numero | number | [nˈumero]
nuova | new | [nʊˈɔːva]
nuovi | new | [nʊˈɔːvɪ]
nuovo | new | [nʊˈɔːvo]
nutrono | nourish | [nˈutrono]
nuvole | clouds | [nˈuvole]
nuvoloni | big clouds | [nˌʊvolˈoːnɪ]
né | nor | [nˈe]
occhi | eyes | [ˈɔkːɪ]
offerto | offered | [offˈɛːrto]
offre | offers | [ˈoffre]
oggetti | objects | [odʒːˈɛtːɪ]
oggi | today | [ˈɔdʒːɪ]
ogni | every | [ˈoɲʲɪ]
oh | oh | [ˈɔ]
opportunità | opportunity | [ˌopːortˌʊnitˈa]
ora | now | [ˈɔːra]
ordina | orders | [ˈordina]
ordinario | ordinary | [ˌɔrdinˈario]
ordinazioni | orders | [ˌɔrdinˌatsiˈɔːnɪ]
ordini | orders | [ˈordinɪ]
ore | hours | [ˈoːre]
organizzare | organize | [ˌɔrɡanitsːˈaːre]
orientarsi | find one's way | [ˌɔrientˈaːrsɪ]
ortiche | nettles | [ˈɔrtike]
oso | I dare | [ˈoːzo]
ospitato | hosted | [ˌospitˈaːto]
osserva | observes | [ossˈɛːrva]
osteria | inn | [ˌɔsterˈiːa]
ottenere | obtain | [ˌotːenˈeːre]
ottima | excellent | [ˈotːima]
ottimista | optimist | [ˌotːimˈista]
ovunque | everywhere | [ovˈunkwe]
pacchetto | package | [pakːˈetːo]
padre | father | [pˈaːdre]
padrona | mistress | [padrˈoːna]
paesaggio | landscape | [pˌaezˈadʒːo]
paese | country | [paˈeːze]
pagare | pay | [paɡˈaːre]
paghiamo | we pay | [paɡjˈaːmo]
pane | bread | [pˈaːne]
panetteria | bakery | [pˌanetːerˈiːa]
panettiera | female baker | [pˌanetːiˈɛːra]
panico | panic | [pˈaniko]
panini | sandwiches | [panˈiːnɪ]
parigi | Paris | [parˈiːdʒɪ]
parlano | they speak | [pˈarlano]
parlare | speak | [parlˈaːre]
parlarne | talk about it | [parlˈaːrne]
parli | you speak | [pˈaːrlɪ]
parlo | I speak | [pˈaːrlo]
parole | words | [parˈɔːle]
parte | part | [pˈaːrte]
partenza | departure | [partˈɛntsa]
parti | parts | [pˈaːrtɪ]
partiamo | we leave | [partjˈaːmo]
partire | leave | [partˈiːre]
partiremo | we will leave | [pˌartirˈɛːmo]
partirà | will leave | [pˌartirˈa]
partito | party | [partˈiːto]
passano | they pass | [pˈassano]
passaporto | passport | [pˌassapˈɔːrto]
passeggia | walks | [passˈedʒːa]
passeggiano | they walk | [passˈɛdʒːano]
passeggiata | walk | [pˌassedʒːˈaːta]
paste | pastries | [pˈaste]
pastore | shepherd | [pastˈoːre]
paura | fear | [paˈuːra]
pazienza | patience | [patsjˈɛntsa]
peccato | sin | [pekːˈaːto]
pensa | thinks | [pˈɛnsa]
pensare | think | [pensˈaːre]
pensassi | thought | [pensˈassɪ]
pensava | thought | [pensˈaːva]
penso | think | [pˈɛnso]
pentola | pot | [pˈentola]
per | for | [pˈɛr]
perché | because | [perkˈe]
percorsi | paths | [perkˈoːrsɪ]
perde | loses | [pˈɛːrde]
perderla | to lose her | [pˈɛrderla]
perderti | to lose you | [pˈɛrdertɪ]
perdita | loss | [pˈɛrdita]
perdona | forgive | [perdˈoːna]
perdonami | forgive me | [perdˈonamɪ]
perfetto | perfect | [perfˈɛtːo]
permetterà | will allow | [pˌɛrmetːerˈa]
persa | lost | [pˈɛːrsa]
persiane | shutters | [pˌɛrsiˈaːne]
perso | lost | [pˈɛːrso]
persona | person | [persˈoːna]
persone | people | [persˈoːne]
pezzo | piece | [pˈɛtsːo]
piacciono | like | [pjˈatʃːono]
piace | likes | [pjˈaːtʃe]
piacere | pleasure | [pjatʃˈeːre]
piangendo | crying | [pjandʒˈɛndo]
piante | plants | [pjˈante]
piccola | small | [pˈikːola]
piccolo | small | [pˈikːolo]
pieno | full | [pjˈɛːno]
pietra | stone | [pjˈɛːtra]
pin | pin | [pˈin]
pittoresco | picturesque | [pˌitːorˈesko]
più | more | [pjˈu]
po | po | [pˈo]
pochi | few | [pˈoːkɪ]
poco | little | [pˈɔːko]
poi | then | [pˈɔːɪ]
polizia | police | [pˌɔlitsˈiːa]
pomeriggio | afternoon | [pˌomerˈidʒːo]
pomodori | tomatoes | [pˌomodˈoːrɪ]
porta | door | [pˈɔːrta]
portafoglio | wallet | [pˌɔrtafˈɔːʎo]
portano | carry | [pˈɔrtano]
portate | brought | [portˈaːte]
portatile | portable | [portˈatile]
portato | brought | [portˈaːto]
portiamo | we bring | [portjˈaːmo]
possiamo | we can | [possjˈaːmo]
possibili | possible | [possˈibilɪ]
posso | can | [pˈɔsso]
posti | places | [pˈostɪ]
posto | place | [pˈosto]
potabile | drinkable | [potˈabile]
potessimo | we could | [potˈessimo]
potete | you can | [potˈeːte]
potevamo | we could | [pˌotevˈaːmo]
potrebbe | could | [potrˈɛbːe]
potremmo | we could | [potrˈɛmmo]
potuto | been able | [potˈuːto]
pranzo | lunch | [prˈantso]
preferisci | prefer | [prˌeferˈiːʃɪ]
preferito | favorite | [prˌeferˈiːto]
prego | you're welcome | [prˈɛːɡo]
prelievo | withdrawal | [prˌɛliˈɛːvo]
prende | takes | [prˈɛnde]
prendere | to take | [prˈendere]
prenderlo | take it | [prˈenderlo]
prendi | take | [prˈɛndɪ]
prendiamo | we take | [prendjˈaːmo]
prendo | I take | [prˈɛndo]
prendono | they take | [prˈendono]
prenotazione | reservation | [prˌenotˌatsiˈɔːne]
preoccupi | worry | [preˈokːʊpɪ]
prepara | prepares | [prepˈaːra]
presa | taken | [prˈeːza]
presentare | to present | [prˌezentˈaːre]
preso | taken | [prˈeːzo]
presto | soon | [prˈɛsto]
prezzo | price | [prˈɛtsːo]
prima | before | [prˈiːma]
problema | problem | [problˈɛːma]
procede | proceeds | [protʃˈeːde]
procediamo | we proceed | [prˌotʃedjˈaːmo]
professionisti | professionals | [prˌofessˌionˈistɪ]
profonda | deep | [profˈonda]
profondamente | deeply | [prˌofondamˈente]
profondo | deep | [profˈondo]
proiettando | projecting | [prˌɔɪetːˈando]
proiettiamo | we project | [prˌɔɪetːjˈaːmo]
pronta | ready | [prˈonta]
pronti | ready | [prˈontɪ]
pronto | ready | [prˈonto]
proprietario | owner | [prˌɔprietˈario]
proprio | own | [prˈɔprio]
prosciutto | ham | [proʃˈutːo]
prossimo | next | [prˈɔssimo]
proteggere | protect | [protˈedʒːere]
prova | test | [prˈɔːva]
provarlo | try it | [provˈaːrlo]
provi | try | [prˈɔːvɪ]
provo | I try | [prˈɔːvo]
pubblici | public | [pˈubːlitʃɪ]
pulita | clean | [pʊlˈiːta]
pungono | sting | [pˈuŋɡono]
punture | stings | [pʊntˈuːre]
puoi | you can | [pʊˈɔːɪ]
pura | pure | [pˈuːra]
può | can | [pʊˈɔ]
qua | here | [kwˈa]
qual | which | [kwˈal]
qualche | some | [kwˈalke]
qualcosa | something | [kwalkˈɔːza]
qualcuno | someone | [kwalkˈuːno]
quale | which | [kwˈaːle]
quali | which | [kwˈaːlɪ]
qualifiche | qualifications | [kwalˈifike]
qualsiasi | any | [kwalsˈiazɪ]
qualunque | any | [kwalˈunkwe]
quando | when | [kwˈando]
quante | how many | [kwˈante]
quanti | how many | [kwˈantɪ]
quanto | how much | [kwˈanto]
quarta | fourth | [kwˈaːrta]
quartiere | neighborhood | [kwˌartiˈɛːre]
quarto | quarter | [kwˈaːrto]
quasi | almost | [kwˈaːzɪ]
quattro | four | [kwˈatːro]
quella | that | [kwˈɛlla]
quelle | those | [kwˈɛlle]
quello | that | [kwˈɛllo]
questa | this | [kwˈɛsta]
queste | these | [kwˈɛste]
questi | these | [kwˈɛstɪ]
questo | this | [kwˈɛsto]
qui | here | [kwˈi]
quindici | fifteen | [kwˈinditʃɪ]
rabbrividisce | shudders | [rˌabːrividˈiːʃe]
raccoglie | collects | [rakːˈoːʎe]
racconterà | will tell | [rˌakːonterˈa]
raddrizza | straightens | [radːrˈitsːa]
radura | clearing | [radˈuːra]
ragazzo | boy | [raɡˈatsːo]
ragione | reason | [radʒˈoːne]
rapidamente | quickly | [rˌapidamˈente]
rapido | quick | [rˈapido]
reclamo | complaint | [reklˈaːmo]
recuperate | recovered | [rˌɛkʊperˈaːte]
regalo | gift | [reɡˈaːlo]
relazione | relationship | [rˌɛlatsiˈɔːne]
rende | makes | [rˈɛnde]
rendiamo | we render | [rendjˈaːmo]
rendono | they render | [rˈɛndono]
resistito | resisted | [rˌɛzistˈiːto]
respira | breathes | [respˈiːra]
restano | remain | [rˈɛstano]
restare | to stay | [restˈaːre]
restiamo | we stay | [restjˈaːmo]
resto | rest | [rˈɛsto]
rialza | raises | [riˈaltsa]
ricerca | research | [ritʃˈeːrka]
ricetta | recipe | [ritʃˈɛtːa]
ricevuto | received | [rˌitʃevˈuːto]
richiede | requires | [rikjˈeːde]
richiesta | request | [rikjˈɛsta]
richieste | requests | [rikjˈɛste]
riconosciuto | recognized | [rˌikonoʃˈuːto]
riconosco | I recognize | [rˌikonˈosko]
ricordano | they remember | [rikˈɔrdano]
ricordi | memories | [rikˈɔːrdɪ]
riempie | fills | [riˈempje]
riflessione | reflection | [rˌiflessiˈoːne]
riflette | reflects | [riflˈetːe]
riflettere | to reflect | [riflˈetːere]
rifletteva | was reflecting | [rˌifletːˈeːva]
rifocillati | refresh yourself | [rˌifotʃillˈaːtɪ]
rifugio | refuge | [rifˈuːdʒo]
rimane | remains | [rimˈaːne]
rimanga | may remain | [rimˈaŋɡa]
rimangono | they remain | [rimˈaŋɡono]
rimaniate | stay | [rˌimanjˈaːte]
rimborsato | reimbursed | [rˌimborsˈaːto]
rimpianti | regrets | [rimpjˈantɪ]
rimprovera | reproaches | [rimprˈɔvera]
riparo | shelter | [ripˈaːro]
ripartono | restart | [ripˈartono]
ripetere | to repeat | [ripˈetere]
riposatevi | rest yourselves | [rˌipozˈatevɪ]
riposati | rested | [rˌipozˈaːtɪ]
riprende | resumes | [riprˈɛnde]
risarcimento | compensation | [rˌizartʃimˈento]
rischiamo | we risk | [riskjˈaːmo]
riservi | you reserve | [rizˈɛːrvɪ]
rispetto | respect | [rispˈɛtːo]
risponde | responds | [rispˈonde]
risuona | resounds | [rˌizʊˈoːna]
ritardo | delay | [ritˈaːrdo]
ritorno | return | [ritˈoːrno]
ritrovato | found | [rˌitrovˈaːto]
ritroveremo | we will find | [rˌitroverˈɛːmo]
riunione | meeting | [riˌʊniˈoːne]
rivede | sees again | [rivˈeːde]
rivive | relives | [rivˈiːve]
rivolge | addresses | [rivˈoldʒe]
rocce | rocks | [rˈɔtʃːe]
roma | Rome | [rˈɔːma]
romano | Roman | [romˈaːno]
rossa | red | [rˈossa]
rossi | reds | [rˈossɪ]
rosso | red | [rˈosso]
rubato | stolen | [rʊbˈaːto]
rugose | wrinkled | [rʊɡˈoːze]
rumore | noise | [rʊmˈoːre]
sa | knows | [sˈa]
sai | know | [sˈaɪ]
sala | room | [sˈaːla]
saldo | solid | [sˈaldo]
sale | salt | [sˈaːle]
saliamo | we go up | [sˌaliˈaːmo]
salute | health | [salˈuːte]
salvata | saved (feminine) | [salvˈaːta]
salvato | saved (masculine) | [salvˈaːto]
salvi | safe | [sˈalvɪ]
sani | healthy | [sˈaːnɪ]
saprò | will know | [saprˈɔ]
saputo | known | [sapˈuːto]
sarai | will be | [sarˈaɪ]
saremo | we will be | [sarˈɛmo]
sarà | will be | [sarˈa]
sarò | will be | [sarˈɔ]
sbagliare | to make a mistake | [zbaʎˈaːre]
sbagliarvi | to make a mistake to you | [zbaʎˈaːrvɪ]
scappare | to escape | [skapːˈaːre]
scegliere | to choose | [ʃˈeʎere]
scelgono | choose | [ʃˈɛlɡono]
scelta | choice | [ʃˈelta]
scelto | chosen | [ʃˈelto]
scena | scene | [ʃˈɛːna]
scenda | goes down | [ʃˈɛnda]
scende | goes down | [ʃˈɛnde]
scendendo | going down | [ʃendˈɛndo]
scendere | to go down | [ʃˈendere]
scendi | you go down | [ʃˈɛndɪ]
scendo | I go down | [ʃˈɛndo]
scendono | they go down | [ʃˈendono]
scene | scenes | [ʃˈɛːne]
scoperta | discovered (feminine) | [skopˈɛːrta]
scoperte | discovered (feminine plural) | [skopˈɛːrte]
scopre | discovers | [skˈɔːpre]
scoprire | to discover | [skoprˈiːre]
scorre | flows | [skˈɔrɾe]
scura | dark | [skˈuːra]
scusa | excuse | [skˈuːza]
scusate | excuse (plural/formal) | [skʊzˈaːte]
scusi | excuse (formal) | [skˈuːzɪ]
se | if | [sˈe]
secondo | according to | [sekˈondo]
sedersi | sit | [sedˈeːrsɪ]
sedici | sixteen | [sˈeditʃɪ]
seduta | session | [sedˈuːta]
segnale | signal | [seɲˈaːle]
segni | signs | [sˈeɲʲɪ]
segno | sign | [sˈeɲʲo]
segua | follow | [sˈeɡwa]
segue | follows | [sˈeɡwe]
seguente | following | [seɡwˈɛnte]
segui | follow | [sˈeɡwɪ]
seguirla | follow her | [seɡwˈiːrla]
seguono | they follow | [sˈeɡwono]
sei | six | [sˈɛj]
sembra | seems | [sˈembra]
semplice | simple | [sˈemplitʃe]
semplicemente | simply | [sˌemplitʃemˈente]
sempre | always | [sˈɛmpre]
senso | sense | [sˈɛnso]
sente | feels | [sˈɛnte]
sentendo | feeling | [sentˈɛndo]
senti | feel | [sˈɛntɪ]
sentiero | path | [sˌentiˈɛːro]
sentire | to hear | [sentˈiːre]
sentirmi | feel me | [sentˈiːrmɪ]
sento | I feel | [sˈɛnto]
senza | without | [sˈɛntsa]
separano | separate | [sepˈarano]
separati | separated | [sˌeparˈaːtɪ]
separazione | separation | [sˌeparˌatsiˈɔːne]
separiamoci | let's separate | [sˌepariˈamotʃɪ]
sera | evening | [sˈeːra]
serata | evening event | [serˈaːta]
serio | serious | [sˈɛrio]
serve | serves | [sˈɛːrve]
servita | served | [servˈiːta]
servizio | service | [servˈitsio]
sessanta | sixty | [sessˈanta]
sette | seven | [sˈɛtːe]
settimana | week | [sˌɛtːimˈaːna]
sfida | challenge | [sfˈiːda]
sforza | strives | [sfˈɔːrtsa]
sfreccia | speeds | [sfrˈetʃːa]
sgorga | gushes | [zɡˈɔːrɡa]
si | yes | [sˈi]
sia | is | [sˈia]
siamo | we are | [sjˈamo]
sicure | sure (feminine plural) | [sikˈuːre]
sicurezza | safety | [sˌikʊrˈetsːa]
sicuri | sure (masculine plural) | [sikˈuːrɪ]
sicuro | sure | [sikˈuːro]
siede | sits | [sjˈeːde]
siedono | sit | [sjˈedono]
siete | you are | [sjˈete]
significa | means | [siɲˈifika]
significato | meaning | [sˌiɲifikˈaːto]
silenzio | silence | [silˈɛntsio]
sinistra | left | [sinˈistra]
sistema | system | [sistˈɛːma]
situazione | situation | [sˌitʊˌatsiˈɔːne]
smarriti | lost | [zmarɾˈiːtɪ]
smorfia | grimace | [zmˈɔrfia]
so | I know | [sˈo]
soccorritore | rescuer | [sˌokːorɾitˈoːre]
soccorritori | rescuers | [sˌokːorɾitˈoːrɪ]
soccorsi | rescued | [sokːˈoːrsɪ]
soccorso | rescue | [sokːˈoːrso]
soffia | blows | [sˈoffia]
sofia | Sofia | [sˈɔfia]
sogni | dreams | [sˈoɲʲɪ]
sogno | dream | [sˈoɲʲo]
sola | alone | [sˈoːla]
soldi | money | [sˈɔldɪ]
sole | sun | [sˈoːle]
solida | solid (feminine) | [sˈɔlida]
solido | solid | [sˈɔlido]
solitudini | lonelinesses | [sˌɔlitˈudinɪ]
sollevata | relieved | [sˌollevˈaːta]
sollievo | relief | [sˌolliˈɛːvo]
solo | alone | [sˈoːlo]
sono | are | [sˈono]
sophie | Sophie | [sˈopje]
sopra | above | [sˈɔːpra]
sopravvivenza | survival | [sˌɔpravvivˈɛntsa]
sopravvivere | survive | [sˌɔpravvˈivere]
sorge | rises | [sˈoːrdʒe]
sorgente | spring | [sordʒˈɛnte]
sorgere | to rise | [sˈordʒere]
sorpreso | surprised | [sorprˈeːzo]
sorride | smiles | [sorɾˈiːde]
sorriso | smile | [sorɾˈiːzo]
sospira | sighs | [sospˈiːra]
sotto | under | [sˈotːo]
spalla | shoulder | [spˈalla]
sparito | disappeared | [sparˈiːto]
spaventato | frightened | [spˌaventˈaːto]
speriamo | let's hope | [spˌɛriˈaːmo]
spero | I hope | [spˈɛːro]
spese | expenses | [spˈeːze]
spiega | explains | [spjˈeːɡa]
splende | shines | [splˈɛnde]
splendide | splendid | [splˈɛndide]
spontaneamente | spontaneously | [spˌontanˌɛamˈente]
sportello | counter | [sportˈɛllo]
squadra | team | [skwˈaːdra]
sta | is | [stˈa]
stai | are you | [stˈaɪ]
stamattina | this morning | [stˌamatːˈiːna]
stanco | tired | [stˈanko]
stanno | are | [stˈanno]
stanotte | tonight | [stanˈɔtːe]
stare | to stay | [stˈaːre]
stasera | this evening | [stazˈeːra]
stata | was | [stˈaːta]
stati | were | [stˈaːtɪ]
stato | been | [stˈaːto]
stava | was | [stˈaːva]
stazione | station | [stˌatsiˈɔːne]
stessa | same | [stˈessa]
stiamo | we are | [stjˈaːmo]
stipendio | salary | [stipˈɛndio]
stipulare | to stipulate | [stˌipʊlˈaːre]
sto | I am | [stˈo]
stoffa | fabric | [stˈɔffa]
stomaco | stomach | [stˈɔmako]
storia | story | [stˈɔria]
storie | stories | [stˈɔrie]
strada | road | [strˈaːda]
strade | roads | [strˈaːde]
stradine | small roads | [strˈadine]
strana | strange | [strˈaːna]
strani | strange | [strˈaːnɪ]
strano | strange | [strˈaːno]
strette | narrow | [strˈetːe]
strofina | rubs | [strofˈiːna]
struttura | structure | [strʊtːˈuːra]
stupidi | stupid | [stˈupidɪ]
su | on | [sˈu]
sua | her | [sˈua]
subito | immediately | [sˈubito]
succeda | happen | [sʊtʃːˈeːda]
succedendo | happening | [sˌʊtʃːedˈɛndo]
sue | her | [sˈue]
sul | on the | [sˈul]
sulla | on the | [sˈulla]
sulle | on | [sˈulle]
suo | his | [sˈuo]
suoi | his | [sʊˈɔɪ]
suoni | sounds | [sʊˈoːnɪ]
suono | sound | [sʊˈoːno]
svegliarmi | wake up | [zveʎˈaːrmɪ]
sé | self | [sˈe]
sì | yes | [sˈi]
taglia | size | [tˈaːʎa]
tantissimo | very much | [tantˈissimo]
tanto | so much | [tˈanto]
tardi | late | [tˈaːrdɪ]
tasca | pocket | [tˈaska]
tasche | pockets | [tˈaske]
tasso | rate | [tˈasso]
tavolo | table | [tˈavolo]
te | you | [tˈe]
telefoni | phones | [telˈɛfonɪ]
telefono | phone | [telˈɛfono]
temperatura | temperature | [tˌemperatˈuːra]
tempeste | storms | [tempˈɛste]
tempo | time | [tˈɛmpo]
tenga | hold | [tˈeŋɡa]
tengono | hold | [tˈeŋɡono]
tentata | tempted | [tentˈaːta]
tentativo | attempt | [tˌentatˈiːvo]
termini | terms | [tˈɛrminɪ]
terribilmente | terribly | [tˌɛrɾibilmˈente]
tesa | tense | [tˈeːza]
tese | tense | [tˈeːze]
tesoro | treasure | [tezˈɔːro]
tessuto | fabric | [tessˈuːto]
testa | head | [tˈɛsta]
ti | you | [tˈi]
tira | pulls | [tˈiːra]
tocca | touches | [tˈokːa]
toccano | touch | [tˈɔkːano]
toccarle | touch her | [tokːˈaːrle]
toglie | removes | [tˈoːʎe]
tondo | round | [tˈondo]
torcia | torch | [tˈɔːrtʃa]
torna | returns | [tˈoːrna]
tornano | return | [tˈɔrnano]
tornare | return | [tornˈaːre]
tornata | returned | [tornˈaːta]
torno | I return | [tˈoːrno]
tosso | cough | [tˈɔsso]
tra | between | [trˈa]
tranquillo | calm | [trankwˈillo]
trasferimento | transfer | [trˌasferimˈento]
trasferire | transfer | [trˌasferˈiːre]
trasformarli | transform them | [trˌasformˈaːrlɪ]
trasformata | transformed | [trˌasformˈaːta]
trasformazione | transformation | [trˌasformˌatsiˈɔːne]
trasformo | I transform | [trasfˈoːrmo]
trasporti | transports | [traspˈɔːrtɪ]
trastevere | Trastevere | [trastˈevere]
travolge | overwhelms | [travˈoldʒe]
tre | three | [trˈe]
tremando | trembling | [tremˈando]
tremanti | trembling | [tremˈantɪ]
treni | trains | [trˈɛːnɪ]
treno | train | [trˈɛːno]
tristezza | sadness | [tristˈetsːa]
troppo | too much | [trˈɔpːo]
trova | finds | [trˈɔːva]
trovano | find | [trˈovano]
trovare | to find | [trovˈaːre]
trovato | found | [trovˈaːto]
tu | you | [tˈu]
tua | your | [tˈua]
tuo | your | [tˈuo]
tutta | all | [tˈutːa]
tutte | all | [tˈutːe]
tutti | all | [tˈutːɪ]
tutto | everything | [tˈutːo]
tè | tea | [tˈɛ]
uguale | equal | [ʊɡwˈaːle]
umana | human | [ʊmˈaːna]
umane | human | [ʊmˈaːne]
umida | humid | [ˈumida]
un | a | [ˈun]
un'acqua | a water | [ʊnˈakːwa]
un'assicurazione | an insurance | [ʊnˌassikˌʊratsiˈɔːne]
un'avventura | an adventure | [ʊnˌavventˈuːra]
un'escursione | a hike | [ʊnˌeskʊrsiˈoːne]
un'idea | an idea | [ʊnidˈɛːa]
un'intenzionalità | an intentionality | [ʊnˌintentsˌionˌalitˈa]
un'ora | an hour | [ʊnˈɔːra]
un'osteria | an inn | [ʊnˌɔsterˈiːa]
un'ottima | an excellent | [ʊnˈotːima]
un'ultima | a last | [ʊnˈultima]
una | a | [ˈuna]
undici | eleven | [ˈunditʃɪ]
uno | one | [ˈuːno]
uomo | man | [wˈɔːmo]
urla | screams | [ˈuːrla]
usando | using | [ʊzˈando]
usato | used | [ʊzˈaːto]
uscendo | exiting | [ʊʃˈɛndo]
va | goes | [vˈa]
vada | go | [vˈaːda]
vagone | wagon | [vaɡˈoːne]
valle | valley | [vˈalle]
vecchi | old men | [vˈekːɪ]
vecchia | old woman | [vˈɛkːia]
vecchio | old man | [vˈekːio]
vede | sees | [vˈeːde]
vediamo | we see | [vedjˈaːmo]
vedo | I see | [vˈeːdo]
vedrai | you will see | [vedrˈaɪ]
vedrete | you will see | [vedrˈeːte]
vegetariana | vegetarian (feminine) | [vˌedʒetˌariˈaːna]
vegetariano | vegetarian (masculine) | [vˌedʒetˌariˈaːno]
velocemente | quickly | [vˌɛlotʃemˈente]
vengo | I come | [vˈeŋɡo]
veniamo | we come | [venjˈaːmo]
vento | wind | [vˈɛnto]
venuti | came | [venˈuːtɪ]
veramente | really | [vˌɛramˈente]
verdi | green | [vˈɛːrdɪ]
verificare | verify | [vˌɛrifikˈaːre]
verità | truth | [vˌɛritˈa]
vero | true | [vˈeːro]
verso | towards | [vˈɛrso]
vestiti | clothes | [vestˈiːtɪ]
vette | peaks | [vˈetːe]
vi | you (plural/formal) | [vˈi]
via | street | [vˈiːa]
viaggiare | travel | [vjadʒːˈaːre]
viaggio | trip | [vjˈadʒːo]
vicina | near | [vitʃˈiːna]
vicinanze | vicinity | [vˌitʃinˈantse]
vicino | near | [vitʃˈiːno]
vie | roads | [vˈiːe]
viene | comes | [vjˈɛːne]
villaggio | village | [villˈadʒːo]
vini | wines | [vˈiːnɪ]
vino | wine | [vˈiːno]
viso | face | [vˈiːzo]
vissuto | lived | [vissˈuːto]
vista | view | [vˈista]
visto | seen | [vˈisto]
vita | life | [vˈiːta]
vite | vines | [vˈiːte]
viva | alive | [vˈiːva]
voce | voice | [vˈoːtʃe]
voglia | desire | [vˈoːʎa]
voglio | I want | [vˈoːʎo]
voi | you (plural) | [vˈɔɪ]
volentieri | gladly | [vˌolentiˈɛːrɪ]
voleva | wanted | [volˈeːva]
volevi | wanted | [volˈɛːvɪ]
volo | flight | [vˈoːlo]
volta | time | [vˈɔlta]
volte | times | [vˈɔlte]
volto | face | [vˈolto]
vorrei | would like | [vorɾˈeːɪ]
vorresti | would like | [vorɾˈɛstɪ]
vostro | your | [vˈɔstro]
vuoi | want | [vʊˈɔːɪ]
vuole | wants | [vʊˈole]
vˈa | go | [vˈu (en)stɹˈɛs(it) ˈa]
zaini | backpacks | [dzˈaɪːnɪ]
zaino | backpack | [dzˈaɪːno]
zucchero | sugar | [dzˈukːero]
zuppa | soup | [dzˈupːa]
ˌin | in | [(en)sˈɛkəndɹɪstɹˌɛs(it) ˈi ˈɛnne]
