# Complete German Dictionary
# Generated from story and phrases
# Format: word | English | [IPA]
# Total words: 1399

ab | from | [ˈap]
komisch | funny | [kˈoːmɪʃ]
komme | come (1st person singular) | [kˈɔmə]
kommen | come | [kˈɔmən]
kommt | comes | [kˈɔmt]
konnte | could | [kˈɔntə]
kontaktieren | contact | [kɔntaktˈiːrən]
konto | account | [kɔntˈoː]
kontostand | account balance | [kɔntˈɔstant]
kontrollieren | control | [kɔntɾɔlˈiːrən]
kopf | head | [kˈɔpf]
kopfschmerzen | headaches | [kˈɔpfʃmɜtsən]
kosten | costs | [kˈɔstən]
kostet | costs | [kˈɔstət]
kreditkarten | credit cards | [krˈeːdɪtkˌaɾtən]
kreis | circle | [krˈaɪs]
kreuzberg | Kreuzberg | [krˈɔøtsbɜk]
kräfte | forces | [krˈɛftə]
kälter | colder | [kˈɛltɜ]
käse | cheese | [kˈɛːzə]
können | can | [kˈœnən]
könnte | could | [kˈœntə]
könnten | could | [kˈœntən]
körper | body | [kˈœɾpɜ]
köstlich | delicious | [kˈœstlɪç]
laden | store | [lˈɑːdən]
ladenbesitzerin | store owner | [lˈɑdənbəzˌɪtsərˌɪn]
ladens | store's | [lˈɑdəns]
landet | lands | [lˈandət]
landhauses | country house | [lˈanthˌaʊzəs]
landschaft | landscape | [lˈandʃaft]
lang | long | [lˈaŋ]
lange | long | [lˈaŋə]
langen | long | [lˈaŋən]
langsam | slow | [lˈaŋzɑːm]
langsamer | slower | [lˈaŋzɑːmɜ]
laptop | laptop | [(en)lˈaptɒp(de)]
lass | let | [lˈas]
lassen | let | [lˈasən]
laufen | run | [lˈaʊfən]
lauscht | listens | [lˈaʊʃt]
lauter | louder | [lˈaʊtɜ]
leben | live | [lˈeːbən]
lebendig | alive | [leːbˈɛndɪç]
lebensmittelladen | grocery store | [lˈeːbənsmˌɪtəlˌɑːdən]
lebst | live | [lˈeːpst]
legen | lay | [lˈeːɡən]
legt | lays | [lˈeːkt]
lehren | teach | [lˈeːrən]
lehrt | teaches | [lˈeːɾt]
leid | sorrow | [lˈaɪt]
leise | quiet | [lˈaɪzə]
leiter | ladder | [lˈaɪtɜ]
lesen | read | [lˈeːzən]
letzte | last | [lˈɛtstə]
letztes | last | [lˈɛtstəs]
leute | people | [lˈɔøtə]
licht | light | [lˈɪçt]
lichtung | clearing | [lˈɪçtʊŋ]
liebe | love | [lˈiːbə]
lieben | love | [lˈiːbən]
lieblingscafé | favorite café | [lˌiːblɪŋskafˈeː]
ließ | let | [lˈiːs]
limit | limit | [liːmˈɪt]
links | left | [lˈɪŋks]
liste | list | [lˈɪstə]
lokalen | local | [loːkˈɑːlən]
london | London | [lˈɔndoːn]
los | off | [lˈoːs]
losziehen | set off | [lˈɔstsiːən]
lucas | Lucas | [lˈuːkɑːs]
luft | air | [lˈʊft]
lächeln | smile | [lˈɛçəln]
lächelt | smiles | [lˈɛçəlt]
läuft | runs | [lˈɔøft]
mache | do | [mˈaxə]
machen | do | [mˈaxən]
machst | do | [mˈaxst]
macht | power | [mˈaxt]
mag | like | [mˈɑːk]
magst | like | [mˈɑːkst]
mal | time | [mˈɑːl]
male | paint | [mˈɑːlə]
malerisch | picturesque | [mˈɑlərˌɪʃ]
man | one | [mˈan]
manchmal | sometimes | [mˈançmɑːl]
mann | man | [mˈan]
marc | Marc | [mˈaɾk]
meer | sea | [mˈeːɾ]
mehr | more | [mˈeːɾ]
mein | my | [mˈaɪn]
meine | my | [mˈaɪnə]
meinem | my | [mˈaɪnəm]
meinen | my | [mˈaɪnən]
meiner | my | [mˈaɪnɜ]
melancholie | melancholy | [mˌeːlançoːlˈiː]
menschen | people | [mˈɛnʃən]
menschliche | human | [mˈɛnʃlɪçə]
menschlichen | human | [mˈɛnʃlɪçən]
merkwürdige | strange | [mˈɛɾkvʏɾdˌɪɡə]
meter | meter | [mˈeːtɜ]
mich | me | [mˈɪç]
miete | rent | [mˈiːtə]
milchkaffee | milk coffee | [mˈɪlçkafˌeː]
minuten | minutes | [miːnˈuːtən]
mir | me | [mˈiːɾ]
mischt | mixes | [mˈɪʃt]
mit | with | [mˈɪt]
miteinander | with each other | [mˈɪtˌaɪnandɜ]
mitgebracht | brought along | [mˈɪtɡəbrˌaxt]
mitgenommen | taken along | [mˈɪtɡənˌɔmən]
mitnehmen | to take along | [mˈɪtnˌeːmən]
mittelalte | middle-aged | [mˈɪtəlˌaltə]
moment | moment | [moːmˈɛnt]
monat | month | [moːnˈɑːt]
monatliche | monthly | [moːnˈɑːtlɪçə]
mont | mount | [mˈɔnt]
morgen | tomorrow | [mˈɔɾɡən]
morgencafé | morning coffee | [mˌɔɾɡənkafˈeː]
morgenlicht | morning light | [mˈɔɾɡənlˌɪçt]
motorengeräusch | engine noise | [mˈoːtoːrˌɛnɡeːrˌɔøʃ]
muss | must | [mˈʊs]
mut | courage | [mˈuːt]
möchte | would like | [mˈœçtə]
möchtest | would you like | [mˈœçtəst]
möglichen | possible | [mˈøːklɪçən]
mögt | like (plural form) | [mˈœkt]
müde | tired | [mˈyːdə]
müden | tired (plural form) | [mˈyːdən]
müller | miller | [mˈʏlɜ]
münchen | Munich | [mˈyːnçən]
müssen | must | [mˈʏsən]
nach | after | [nˈɑːx]
nachdem | after | [naxdˈeːm]
nachgecheckt | checked | [nˈaxɡɛçˌɛkt]
nachgeprüft | verified | [nˈaxɡɛprˌʏft]
nachmittag | afternoon | [nˈaxmɪtˌɑːk]
nacht | night | [nˈaxt]
nachzudenken | to think about | [nˈaxtsuːdˌɛŋkən]
nah | close | [nˈɑː]
nahe | near | [nˈɑːə]
naivität | naivety | [nˌaɪviːtˈɛːt]
namen | names | [nˈɑːmən]
nass | wet | [nˈas]
natur | nature | [nˈɑtuːɾ]
natürlich | naturally | [nɑːtˈyːɾlɪç]
nebel | fog | [nˈeːbəl]
neben | beside | [nˈeːbən]
nebenkosten | additional costs | [nˈeːbənkˌɔstən]
nehme | take | [nˈeːmə]
nehmen | take | [nˈeːmən]
nehmt | take (plural form) | [nˈeːmt]
nein | no | [nˈaɪn]
nervosität | nervousness | [nˌɛɾvoːziːtˈɛːt]
nervös | nervous | [nˈɛɾvøːs]
nett | nice | [nˈɛt]
netz | net | [nˈɛts]
neu | new | [nˈɔø]
neuen | new | [nˈɔøən]
neues | new | [nˈɔøəs]
neugierig | curious | [nˈɔøɡiːrˌɪç]
nicht | not | [nˈɪçt]
nichts | nothing | [nˈɪçts]
nie | never | [nˈiː]
niemals | never | [nˈiːmɑːls]
nimm | take | [nˈɪm]
nimmt | takes | [nˈɪmt]
noch | still | [nˈɔx]
normal | normal | [nˈɔɾmɑːl]
normales | normal | [nˈɔɾmɑːləs]
normandie | Normandy | [nˌɔɾmandˈiː]
notwendig | necessary | [nˈɔtvəndˌɪç]
notwendigkeit | necessity | [nˈɔtvəndˌɪçkaɪt]
november | November | [nˈoːvɛmbɜ]
nummer | number | [nˈʊmɜ]
nur | only | [nˈuːɾ]
nutzt | uses | [nˈʊtst]
nächste | next | [nˈɛçstə]
nächsten | next | [nˈɛçstən]
nächte | nights | [nˈɛçtə]
nähe | proximity | [nˈɛːə]
nähert | approaches | [nˈɛːɜt]
nähren | nourish | [nˈɛːrən]
nötig | necessary | [nˈøːtɪç]
nötigste | bare necessities | [nˈøːtɪçstə]
nützt | benefits | [nˈʏtst]
ob | whether | [ˈɔp]
oben | above | [ˈoːbən]
obwohl | although | [ɔpvˈoːl]
oder | or | [ˈoːdɜ]
oh | oh | [ˈoː]
ohne | without | [ˈoːnə]
okay | okay | [ˈoːkɛɪ]
optimistisch | optimistic | [ˌɔptiːmˈɪstɪʃ]
oranienstraße | Oranienstraße | [ˈoːranˌɪənstɾˌɑːsə]
ordnung | order | [ˈɔɾdnʊŋ]
organisieren | organize | [ˌɔɾɡaniːzˈiːrən]
orientieren | orient | [ˌoːrɪɛntˈiːrən]
orientierung | orientation | [ˌoːrɪɛntˈiːrʊŋ]
paar | couple | [pˈɑːɾ]
paniken | panics | [pˈɑniːkən]
papier | paper | [papˈiːɾ]
paris | Paris | [pˈɑrɪs]
pass | passport | [pˈas]
passiert | happens | [pasˈiːɾt]
pension | pension | [pɛnzjˈoːn]
per | by | [pˈɛɾ]
perfekt | perfect | [pɛɾfˈɛkt]
person | person | [pɛɾzˈoːn]
personen | people | [pɛɾzˈoːnən]
pfad | path | [pfˈɑːt]
pflanzen | plants | [pflˈantsən]
pflückt | picks | [pflˈʏkt]
pin-code | PIN code | [pˈiːnkˈoːt]
plätze | places | [plˈɛtsə]
plötzlich | suddenly | [plˈœtslɪç]
polizei | police | [pˌoːliːtsˈaɪ]
polizeistation | police station | [pˌoːliːtsˌaɪstatsɪˈoːn]
portemonnaie | wallet | [pˈɔɾteːmˌɔnaɪə]
pro | per | [prˈoː]
problem | problem | [proːblˈeːm]
profis | professionals | [proːfˈɪs]
prost | cheers | [prˈɔst]
prüft | checks | [prˈʏft]
prüfung | examination | [prˈyːfʊŋ]
pullover | sweater | [pˈʊloːvɜ]
qualifikationen | qualifications | [kvˌɑliːfˌiːkatsɪˈoːnən]
quelle | source | [kvˈɛlə]
rast | rest | [rˈast]
rat | advice | [rˈɑːt]
rechnung | bill | [rˈɛçnʊŋ]
recht | right | [rˈɛçt]
rechts | right | [rˈɛçts]
reden | talk | [rˈeːdən]
reflektierte | reflected | [rˌɛflɛktˈiːɾtə]
reflexion | reflection | [rˌɛflɛksjˈoːn]
reibt | rubs | [rˈaɪpt]
reise | journey | [rˈaɪzə]
reisen | travel | [rˈaɪzən]
rennt | runs | [rˈɛnt]
reservierung | reservation | [rˌeːzɛɾvˈiːrʊŋ]
rettung | rescue | [rˈɛtʊŋ]
rettungshubschrauber | rescue helicopter | [rˈɛtʊŋshˌʊpʃraʊbɜ]
rettungskraft | rescuer | [rˈɛtʊŋskrˌaft]
rettungskräfte | rescuers | [rˈɛtʊŋskrˌɛftə]
rettungsstation | rescue station | [rˌɛtʊŋsʃtˌatsɪˈoːn]
rettungsstelle | emergency room | [rˌɛtʊŋsʃtˈɛlə]
reue | regret | [rˈɔøə]
rezept | recipe | [reːtsˈɛpt]
richtet | aligns | [rˈɪçtət]
richtig | correct | [rˈɪçtɪç]
richtiges | right | [rˈɪçtɪɡəs]
richtung | direction | [rˈɪçtʊŋ]
ritzt | scratches | [rˈɪtst]
robust | robust | [rˈoːbʊst]
rolle | role | [rˈɔlə]
rote | red | [rˈoːtə]
rotwein | red wine | [rˈɔtvaɪn]
rucksack | backpack | [rˈʊkzak]
rucksäcke | backpacks | [rˈʊkzɛkə]
rufen | call | [rˈuːfən]
ruft | calls | [rˈʊft]
ruh | rest | [rˈuː]
ruhen | rest | [rˈuːən]
ruhig | quiet | [rˈuːɪç]
ruhiger | quieter | [rˈuːɪɡɜ]
runde | round | [rˈʊndə]
runter | down | [rˈʊntɜ]
runtergehe | go down | [rˈʊntɜɡˌeːə]
runzligen | wrinkled | [rˈʊntslɪɡən]
rückerstattung | refund | [rˈʏkɜstˌatʊŋ]
rückfahrt | return trip | [rˈʏkfɑːɾt]
sagen | say | [zˈɑːɡən]
sagt | says | [zˈɑːkt]
sagte | said | [zˈɑːɡtə]
sammeln | collect | [zˈaməln]
sammle | collect | [zˈamlə]
sandwiches | sandwiches | [zˈandvɪçəs]
sanft | gentle | [zˈanft]
sanitäter | paramedic | [zˌɑniːtˈɛːtɜ]
satz | sentence | [zˈats]
schade | pity | [ʃˈɑːdə]
schalter | switch | [ʃˈaltɜ]
schatz | treasure | [ʃˈats]
schau | look | [ʃˈaʊ]
schauen | look | [ʃˈaʊən]
schaut | looks | [ʃˈaʊt]
scheint | seems | [ʃˈaɪnt]
schilder | signs | [ʃˈɪldɜ]
schinken | ham | [ʃˈɪŋkən]
schlaf | sleep | [ʃlˈɑːf]
schlafen | sleep | [ʃlˈɑːfən]
schlecht | bad | [ʃlˈɛçt]
schlendern | stroll | [ʃlˈɛndɜn]
schließlich | finally | [ʃlˈiːslɪç]
schluckt | swallows | [ʃlˈʊkt]
schlüssel | key | [ʃlˈʏsəl]
schmidt | Schmidt | [ʃmˈɪt]
schneebedeckten | snow-covered | [ʃnˈeːbeːdˌɛktən]
schnell | fast | [ʃnˈɛl]
schokoladenbrötchen | chocolate croissant | [ʃˈoːkoːlˌɑdənbrˌøːtçən]
schon | already | [ʃˈoːn]
schrecklich | terrible | [ʃrˈɛklɪç]
schreit | screams | [ʃrˈaɪt]
schreiten | stride | [ʃrˈaɪtən]
schuldig | guilty | [ʃˈʊldɪç]
schulter | shoulder | [ʃˈuːltɜ]
schutzhütte | shelter | [ʃˈʊtshʏtə]
schwarz | black | [ʃvˈaɾts]
schweigend | silent | [ʃvˈaɪɡənt]
schwenkt | swings | [ʃvˈɛŋkt]
schwierige | difficult | [ʃvˈiːrɪɡə]
schäferhütte | shepherd's hut | [ʃˈɛːfɜhˌʏtə]
schäferstruktur | shepherd structure | [ʃˈɛːfɜstɾˌʊktuːɾ]
schön | beautiful | [ʃˈøːn]
schönen | beautiful | [ʃˈøːnən]
schöner | more beautiful | [ʃˈøːnɜ]
schönes | beautiful | [ʃˈøːnəs]
schüttelt | shakes | [ʃˈʏtəlt]
schützen | protect | [ʃˈʏtsən]
sechzehn | sixteen | [zˈɛçtseːn]
sechzig | sixty | [zˈɛçtsɪç]
sehe | see | [zˈeːə]
sehen | see | [zˈeːən]
sehr | very | [zˈeːɾ]
seht | see (imperative plural) | [zˈeːt]
sei | be (imperative singular) | [zˈaɪ]
seid | are (imperative plural) | [zˈaɪt]
sein | his | [zˈaɪn]
seine | his | [zˈaɪnə]
seinem | his | [zˈaɪnəm]
seinen | his | [zˈaɪnən]
seiner | his | [zˈaɪnɜ]
seite | page or side | [zˈaɪtə]
selbst | self | [zˈɛlpst]
selbstbehalt | deductible | [zˈɛlpstbəhˌalt]
selbstsicher | self-confident | [zˈɛlpstsɪçɜ]
seltsam | strange | [zˈɛltzɑːm]
seltsame | strange | [zˈɛltzɑːmə]
seltsamen | strange | [zˈɛltzɑːmən]
service | service | [sˈɛɾvɪs]
serviert | served | [zɛɾvˈiːɾt]
setzen | put or set | [zˈɛtsən]
setzt | puts or sets | [zˈɛtst]
seufzt | sighs | [zˈɔøftst]
sich | oneself | [zˈɪç]
sicher | safe | [zˈɪçɜ]
sichere | safe | [zˈɪçərə]
sicheren | safe | [zˈɪçərən]
sicherheit | safety | [zˈɪçɜhˌaɪt]
sie | she or they | [zˈiː]
sieben | seven | [zˈiːbən]
sieht | sees | [zˈiːt]
sind | are | [zˈɪnt]
situation | situation | [zˌiːtuːˌatsɪˈoːn]
sitzen | sit | [zˈɪtsən]
sitzend | sitting | [zˈɪtsənt]
so | so | [zˈoː]
sobald | as soon as | [zˈoːbalt]
sofa | sofa | [zˈoːfɑː]
sofort | immediately | [zoːfˈɔɾt]
solche | such | [zˈɔlçə]
sollen | shall | [zˈɔlən]
sollte | should | [zˈɔltə]
sollten | should | [zˈɔltən]
sondern | but | [zˈɔndɜn]
sonne | sun | [zˈɔnə]
sonnenaufgang | sunrise | [zˈɔnənˌaʊfɡaŋ]
sophie | Sophie | [zoːfˈiː]
sophies | Sophie's | [zˈoːfiːs]
sorge | worry | [zˈɔɾɡə]
sorgen | cares | [zˈɔɾɡən]
spazieren | walk | [ʃpatsˈiːrən]
spaziergang | walk | [ʃpˈɑtsiːɾɡˌaŋ]
speisekarte | menu | [ʃpˈaɪzeːkˌaɾtə]
speisesaal | dining room | [ʃpˈaɪzeːzˌɑːl]
sperren | block | [ʃpˈɛrən]
spielt | plays | [ʃpˈiːlt]
spontan | spontaneous | [ʃpɔntˈɑːn]
spreche | speak | [ʃprˈɛçə]
sprechen | speak | [ʃprˈɛçən]
spricht | speaks | [ʃprˈɪçt]
sprudelt | bubbles | [ʃprˈuːdəlt]
spät | late | [ʃpˈɛːt]
später | later | [ʃpˈɛːtɜ]
spürt | feels | [ʃpˈʏɾt]
stabil | stable | [ʃtabˈiːl]
stadt | city | [ʃtˈat]
starrt | stares | [ʃtˈaɾt]
starten | start | [ʃtˈaɾtən]
startet | starts | [ʃtˈaɾtət]
stechen | sting | [ʃtˈɛçən]
stehen | stand | [ʃtˈeːən]
steht | stands | [ʃtˈeːt]
steigen | climb | [ʃtˈaɪɡən]
steigt | climbs | [ʃtˈaɪkt]
steinernen | stone | [ʃtˈaɪnɜnən]
steinhäusern | stone houses | [ʃtˈaɪnhɔøzɜn]
steinwände | stone walls | [ʃtˈaɪnvɛndə]
stellt | places | [ʃtˈɛlt]
stich | sting | [ʃtˈɪç]
stiche | stings | [ʃtˈɪçə]
stille | silence | [ʃtˈɪlə]
stimme | voice | [ʃtˈɪmə]
stoff | fabric | [ʃtˈɔf]
stornieren | cancel | [ʃtɔɾnˈiːrən]
storniert | canceled | [ʃtɔɾnˈiːɾt]
stornogebühren | cancellation fees | [ʃtˈɔɾnoːɡˌeːbyːrən]
straße | street | [ʃtɾˈɑːsə]
straßen | streets | [ʃtɾˈɑːsən]
streichholz | match | [ʃtɾˈaɪçhɔlts]
streichhölzer | matches | [ʃtɾˈaɪçhœltsɜ]
streiten | argue | [ʃtɾˈaɪtən]
streitigkeiten | disputes | [ʃtɾˈaɪtɪçkˌaɪtən]
streits | disputes | [ʃtɾˈaɪts]
stunde | hour | [ʃtˈʊndə]
stunden | hours | [ʃtˈʊndən]
stundenlang | for hours | [ʃtˈʊndənlˌaŋ]
ständig | constant | [ʃtˈɛndɪç]
stängel | stalk | [ʃtˈɛŋəl]
stärker | stronger | [ʃtˈɛɾkɜ]
stück | piece | [ʃtˈʏk]
stürme | storms | [ʃtˈʏɾmə]
suche | search | [zˈuːxə]
suchen | search | [zˈuːxən]
sucht | addiction | [zˈuːxt]
suchteam | search team | [zˈuːxteːˌɑːm]
suppe | soup | [zˈʊpə]
szene | scene | [stsˈeːnə]
szenen | scenes | [stsˈeːnən]
süßes | sweets | [zˈyːsəs]
tag | day | [tˈɑːk]
tagesanbruch | dawn | [tˈɑɡeːzˌanbrʊx]
tal | valley | [tˈɑːl]
tanzt | dances | [tˈantst]
tasche | bag | [tˈaʃə]
taschen | bags | [tˈaʃən]
taschenlampe | flashlight | [tˈaʃənlˌampə]
tauchen | dive | [tˈaʊxən]
taucht | dives | [tˈaʊxt]
tee | tea | [tˈeː]
teil | part | [tˈaɪl]
teile | parts | [tˈaɪlə]
teilen | share | [tˈaɪlən]
telefon | phone | [tˌeːleːfˈoːn]
telefonnummer | phone number | [tˌeːleːfˈɔnʊmɜ]
temperatur | temperature | [tˈɛmpeːrˌɑtuːɾ]
termin | appointment | [tɛɾmˈiːn]
teuer | expensive | [tˈɔøɜ]
ticket | ticket | [tˈɪkət]
tickets | tickets | [tˈɪkəts]
tief | deep | [tˈiːf]
tiefer | deeper | [tˈiːfɜ]
tier | animal | [tˈiːɾ]
tiere | animals | [tˈiːrə]
tierisches | animal | [tˈiːrɪʃəs]
tipp | tip | [tˈɪp]
tisch | table | [tˈɪʃ]
toiletten | toilets | [tˌoːiːlˈɛtən]
tomaten | tomatoes | [toːmˈɑːtən]
topf | pot | [tˈɔpf]
traum | dream | [tɾˈaʊm]
traurigkeit | sadness | [tɾˈaʊrɪçkˌaɪt]
treffen | meeting | [tɾˈɛfən]
trennen | separate | [tɾˈɛnən]
trennung | separation | [tɾˈɛnʊŋ]
tresen | counter | [tɾˈeːzən]
trifft | meets | [tɾˈɪft]
trinkbares | drinkable | [tɾˈɪŋkbɑːrəs]
trinke | drink | [tɾˈɪŋkə]
trinken | drink | [tɾˈɪŋkən]
trinkt | drinks | [tɾˈɪŋkt]
trinkwasser | drinking water | [tɾˈɪŋkvasɜ]
tritt | steps | [tɾˈɪt]
trug | carried | [tɾˈuːk]
trägt | carries | [tɾˈɛːkt]
träume | dreams | [tɾˈɔømə]
tun | do | [tˈuːn]
tut | does | [tˈuːt]
tür | door | [tˈyːɾ]
u-bahn | subway | [ˈuːbˈɑːn]
uhr | clock | [ˈuːɾ]
um | around | [ˈʊm]
umarmen | hug | [ʊmˈaɾmən]
umgebung | environment | [ʊmɡˈeːbʊŋ]
umgehen | bypass | [ʊmɡˈeːən]
umkehren | reverse | [ʊmkˈeːrən]
umschlungen | embraced | [ʊmʃlˈʊŋən]
umso | the more | [ˈʊmzoː]
umsteigen | transfer | [ˈʊmʃtˌaɪɡən]
unbeschwerte | carefree | [ˈʊnbəʃvˌeːɾtə]
und | and | [ˈʊnt]
unerwartete | unexpected | [ˈʊnɛɾvˌaɾtətə]
unfreiwillige | involuntary | [ˈʊnfrˌaɪvɪlˌɪɡə]
ungefähr | approximately | [ˈʊnɡəfˌɛːɾ]
ungewissen | uncertain | [ˈʊnɡəvˌɪsən]
ungewissheit | uncertainty | [ˈʊnɡəvˌɪshaɪt]
ungewöhnliches | unusual | [ˈʊnɡəvˌøːnlɪçəs]
ungläubig | incredulous | [ˈʊnɡlˌɔøbɪç]
unmöglich | impossible | [ˈʊnmˌøːklɪç]
uns | us | [ˈʊns]
unschuld | innocence | [ˈʊnʃˌʊlt]
unser | our | [ˈʊnzɜ]
unsere | our | [ˈʊnzrə]
unserem | our | [ˈʊnsərəm]
unserer | our | [ˈʊnzərɜ]
unsicherheit | uncertainty | [ˈʊnzˌɪçɜhˌaɪt]
unten | below | [ˈʊntən]
unter | under | [ˈʊntɜ]
unterdessen | meanwhile | [ˌʊntɜdˈɛsən]
unterhalten | entertain | [ˌʊntɜhˈaltən]
unterschied | difference | [ˌʊntɜʃˈiːt]
unterschlupf | shelter | [ˌʊntɜʃlˈʊpf]
unterwegs | on the way | [ˌʊntɜvˈeːks]
ursache | cause | [ˈʊɐzaxə]
vater | father | [fˈɑːtɜ]
vegetarier | vegetarian (male) | [vˌeːɡeːtˈɑːriːɜ]
vegetarierin | vegetarian (female) | [vˌeːɡeːtˈɑriːərˌɪn]
vereinbaren | agree | [fɛrˈaɪnbɑːrən]
vereint | united | [fɛɾˈaɪnt]
verfehlen | miss | [fɛɾfˈeːlən]
verfügbarkeiten | availabilities | [fɛɾfˈʏɡbaɾkˌaɪtən]
vergessen | forget | [fɛɾɡˈɛsən]
vergibt | forgives | [fɛɾɡˈiːpt]
vergiss | forget | [fɛɾɡˈɪs]
vergnügen | pleasure | [fɛɾɡənˈyːɡən]
verhalten | behavior | [fɛɾhˈaltən]
verirrt | lost | [fɛɾˈɪɾt]
verkehrsmittel | transport | [fɛɾkˈeːɾsmɪtəl]
verkündet | announces | [fɛɾkˈʏndət]
verladen | load | [fɛɾlˈɑːdən]
verlassen | leave | [fɛɾlˈasən]
verlassene | abandoned | [fɛɾlˈasənə]
verletzen | injure | [fɛɾlˈɛtsən]
verlieren | lose | [fɛɾlˈiːrən]
verliert | loses | [fɛɾlˈiːɾt]
verloren | lost | [fɛɾlˈoːrən]
verlust | loss | [fɛɾlˈʊst]
verlässt | leaves | [fɛɾlˈɛst]
vermischen | mix | [fɛɾmˈɪʃən]
vermisse | miss | [fɛɾmˈɪsə]
verpacken | pack | [fɛɾpˈakən]
verreisen | travel | [fɛɾrˈaɪzən]
verrückt | crazy | [fɛɾrˈʏkt]
verschluckt | swallowed | [fɛɾʃlˈʊkt]
verschneiten | snowy | [fɛɾʃnˈaɪtən]
verschwimmt | blurs | [fɛɾʃvˈɪmt]
verschwunden | disappeared | [fɛɾʃvˈʊndən]
versicherung | insurance | [fɛɾzˈɪçərˌʊŋ]
verspätet | delayed | [fɛɾʃpˈɛːtət]
verstehe | understand | [fɛɾʃtˈeːə]
versuch | attempt | [fɛɾzˈuːx]
versuche | attempts | [fɛɾzˈuːxə]
versucht | tries | [fɛɾzˈuːxt]
vertrauen | trust | [fɛɾtɾˈaʊən]
verwandelt | transformed | [fɛɾvˈandəlt]
verwandlung | transformation | [fɛɾvˈandlʊŋ]
verwendet | used | [fɛɾvˈɛndət]
verwitterter | weathered | [fɛɾvˈɪtɜtɜ]
verzeih | forgive | [fɛɾtsˈaɪ]
verzieht | distorts | [fɛɾtsˈiːt]
verzweifelt | desperate | [fɛɾtsvˈaɪfəlt]
verzweiflung | despair | [fɛɾtsvˈaɪflʊŋ]
verändern | change | [fɛɾˈɛndɜn]
verändert | changed | [fɛɾˈɛndɜt]
veränderung | change | [fɛɾˈɛndərˌʊŋ]
viel | much | [fˈiːl]
viele | many | [fˈiːlə]
vielen | many | [fˈiːlən]
vielleicht | maybe | [fiːllˈaɪçt]
vier | four | [fˈiːɾ]
viertel | quarter | [fˈiːɾtəl]
viertels | quarter's | [fˈiːɾtəls]
vierten | fourth | [fˈiːɾtən]
voll | full | [fˈɔl]
vollständig | complete | [fˈɔlʃtˌɛndɪç]
vollständiger | more complete | [fˈɔlʃtˌɛndɪɡɜ]
vom | from the | [fˈɔm]
von | from | [fˈɔn]
vor | before | [fˈɔɾ]
voran | ahead | [fˈoːɾˌan]
vorbeigehen | pass by | [foːɾbˈaɪɡˌeːən]
vorbeigehenden | passing | [foːɾbˈaɪɡˌeːəndən]
vorbeiziehende | passing | [foːɾbˈaɪtsˌiːəndə]
vorbeiziehenden | passing | [foːɾbˈaɪtsˌiːəndən]
vorgeben | pretend | [fˈoːɾɡˌeːbən]
vorher | before | [foːɾhˈeːɾ]
vorne | front | [fˈɔɾnə]
vorsichtig | careful | [fˈoːɾzˌɪçtɪç]
vorwürfe | accusations | [fˈoːɾvˌʏɾfə]
völlig | completely | [fˈœlɪç]
wachsen | grow | [vˈaxzən]
wage | dare | [vˈɑːɡə]
wagen | car | [vˈɑːɡən]
waggon | wagon | [vˈaɡoːn]
wahl | choice | [vˈɑːl]
wahnsinnig | insane | [vˈɑːnzɪnˌɪç]
wahr | true | [vˈɑːɾ]
wahrheit | truth | [vˈɑːɾhaɪt]
wand | wall | [vˈant]
wandel | change | [vˈandəl]
wandermöglichkeiten | hiking opportunities | [vˈandɜmˌœklɪçkˌaɪtən]
wandern | hike | [vˈandɜn]
wanderung | hike | [vˈandərˌʊŋ]
wanderungen | hikes | [vˈandərˌʊŋən]
wann | when | [vˈan]
war | was | [vˈɑːɾ]
waren | were | [vˈɑːrən]
warme | warm | [vˈaɾmə]
warmen | warm | [vˈaɾmən]
wart | waited | [vˈɑːɾt]
warte | wait | [vˈaɾtə]
warten | wait | [vˈaɾtən]
wartet | waits | [vˈaɾtət]
warum | why | [vɑːrˈʊm]
wasser | water | [vˈasɜ]
wechsel | exchange | [vˈɛksəl]
wechselgeld | change | [vˈɛksəlɡˌɛlt]
wechselkurs | exchange rate | [vˈɛksəlkˌuːɾs]
wecken | wake | [vˈɛkən]
weder | neither | [vˈeːdɜ]
weg | way | [vˈeːk]
wege | ways | [vˈeːɡə]
wegen | because of | [vˈeːɡən]
weht | blows | [vˈeːt]
wehtun | hurt | [vˈeːtuːn]
weihnachten | Christmas | [vˈaɪhnaxtən]
weile | while | [vˈaɪlə]
wein | wine | [vˈaɪn]
weinend | crying | [vˈaɪnənt]
weinladen | wine shop | [vˈaɪnlɑːdən]
weit | far | [vˈaɪt]
weiter | further | [vˈaɪtɜ]
weiterexistieren | continue to exist | [vˈaɪtɜˌɛksɪstˌiːrən]
weitergehen | continue | [vˈaɪtɜɡˌeːən]
weiterhin | still | [vˈaɪtɜhˌɪn]
weitermachen | continue | [vˈaɪtɜmˌaxən]
weiß | white | [vˈaɪs]
weiße | white | [vˈaɪsə]
weißt | know | [vˈaɪst]
welche | which | [vˈɛlçə]
welchem | which | [vˈɛlçəm]
welchen | which | [vˈeːlçən]
wendet | turns | [vˈɛndət]
wenige | few | [vˈeːnɪɡə]
weniger | less | [vˈeːnɪɡɜ]
wenn | if | [vˈɛn]
wer | who | [vˈeːɾ]
werde | will | [vˈɛɾdə]
werden | will | [vˈɛɾdən]
werdet | will | [vˈɛɾdət]
westentasche | pocket | [vˈɛstɛntˌaʃə]
