# Complete Portuguese Dictionary
# Generated from story and phrases
# Format: word | English | [IPA]
# Total words: 1186

abaixo | below | [ˌabˈaɪʃʊ]
machucam | hurt | [mˌaʃˈukɐ̃ʊ̃]
madalena | Magdalene | [mˌadalˈenæ]
madeira | wood | [mˌadˈeɪɾæ]
magníficas | magnificent | [mˌaɡnˈifikæs]
mais | more | [mˈaɪs]
mal | bad | [mˈaʊ]
malas | suitcases | [mˈalæs]
mandei | sent | [mɐ̃ŋdˈeɪ]
manhã | morning | [mɐ̃ɲˈɐ̃]
manteiga | butter | [mˌɐ̃ŋtˈeɪɡæ]
mantiqueira | Mantiqueira | [mˌɐ̃ŋtʃikˈeɪɾæ]
mapa | map | [mˈapæ]
mar | sea | [mˈar]
maravilha | wonder | [mˌaɾavˈiljæ]
marc | Marc | [mˈaɾək]
marco | milestone | [mˈaɾəkʊ]
mas | but | [mˈas]
me | me | [mˈy]
medo | fear | [mˈedʊ]
meia | sock | [mˈeɪæ]
meia-idade | middle age | [mˈeɪæˌidˈadʒy]
melancolia | melancholy | [mˌelɐ̃ŋkolˈiæ]
melhor | better | [meljˈɔr]
memórias | memories | [mˌemˈɔɾjæs]
menor | smaller | [menˈɔr]
menos | less | [mˈenʊs]
mente | mind | [mˈeɪŋtʃy]
mercado | market | [mˌeɾəkˈadʊ]
mercearia | grocery | [mˌeɾəseaɾˈiæ]
mesma | same | [mˈezmæ]
mesmo | same | [mˈezmʊ]
metros | meters | [mˈɛtrʊs]
metrô | subway | [metrˈo]
meu | my | [mˈeʊ]
mexe | stirs | [mˈɛʃy]
mim | me | [mˈiŋ]
minha | my | [mˈiɲæ]
minutos | minutes | [mˌinˈutʊs]
misteriosa | mysterious | [mˌisteɾiˈɔzæ]
mistura | mixture | [mˌistˈuɾæ]
mochila | backpack | [mˌoʃˈilæ]
mochilas | backpacks | [mˌoʃˈilæs]
momento | moment | [mˌomˈeɪŋtʊ]
momentos | moments | [mˌomˈeɪŋtʊs]
mont | mount | [mˈoŋt]
montanha | mountain | [mˌoŋtˈɐ̃ɲæ]
montanhas | mountains | [mˌoŋtˈɐ̃ɲæs]
montanhosa | mountainous | [mˌoŋtɐ̃ɲˈɔzæ]
monótona | monotonous | [mˌonˈɔtonæ]
moreira | mulberry tree | [mˌoɾˈeɪɾæ]
morou | lived | [moɾˈow]
mostra | shows | [mˈɔstræ]
mostrando | showing | [mˌostrˈɐ̃ŋdʊ]
mostrar | show | [mostrˈar]
mostre | show | [mˈɔstry]
motor | motor | [motˈor]
muda | changes | [mˈudæ]
mudando | changing | [mˌudˈɐ̃ŋdʊ]
mudou | changed | [mudˈow]
muita | much | [mwˈiŋtæ]
muitas | many | [mwˈiŋtæs]
muito | very | [mwˈiŋtʊ]
mulher | woman | [muljˈɛr]
mundo | world | [mˈũŋdʊ]
má | bad | [mˈa]
mãe | mother | [mˈɐ̃y]
mão | hand | [mˈɐ̃ʊ̃]
mãos | hands | [mˈɐ̃ʊ̃s]
na | in | [nˈa]
nada | nothing | [nˈadæ]
naquela | in that | [nˌakˈɛlæ]
nas | in the | [nˈas]
nasce | is born | [nˈasy]
nascendo | being born | [nˌasˈeɪŋdʊ]
nascente | source | [nˌasˈeɪŋtʃy]
nascer | to be born | [nasˈer]
natureza | nature | [nˌatuɾˈezæ]
neblina | fog | [nˌeblˈinæ]
necessidade | need | [nˌesesidˈadʒy]
necessário | necessary | [nˌesesˈaɾjʊ]
nela | in her | [nˈɛlæ]
nem | nor | [nˈeɪŋ]
nervosidade | nervousness | [nˌeɾəvozidˈadʒy]
nervosismo | nervousness | [nˌeɾəvozˈizmʊ]
nervoso | nervous | [nˌeɾəvˈozʊ]
nessa | in that | [nˈɛsæ]
nesta | in this | [nˈɛstæ]
nevados | snowy | [nˌevˈadʊs]
nevoeiro | fog | [nˌevoˈeɪɾʊ]
noite | night | [nˈoɪtʃy]
nome | name | [nˈomy]
normal | normal | [noɾəmˈaʊ]
normandia | Normandy | [nˌoɾəmɐ̃ŋdʒˈiæ]
nos | us | [nˈʊs]
nossa | our | [nˈɔsæ]
nossas | our | [nˈɔsæs]
nosso | our | [nˈɔsʊ]
nossos | our | [nˈɔsʊs]
nota | note | [nˈɔtæ]
nova | new | [nˈɔvæ]
novembro | November | [nˌovˈeɪmbrʊ]
novos | new | [nˈɔvʊs]
numa | in a | [nˈumæ]
nunca | never | [nˈũŋkæ]
nuvens | clouds | [nˈuveɪŋs]
não | no | [nˈɐ̃ʊ̃]
né | right? | [nˈɛ]
nós | we | [nˈɔs]
número | number | [nˈũmeɾʊ]
obrigada | thank you (female) | [ˌobriɡˈadæ]
obrigado | thank you (male) | [ˌobriɡˈadʊ]
observa | observes | [ˌobsˈɛɾəvæ]
observam | observe | [ˌobsˈɛɾəvɐ̃ʊ̃]
oferece | offers | [ˌofeɾˈɛsy]
ok | ok | [ɔkˈeɪ]
olha | look | [ˈɔljæ]
olham | look | [ˈɔljɐ̃ʊ̃]
olhando | looking | [ˌoljˈɐ̃ŋdʊ]
olhei | looked | [oljˈeɪ]
olhos | eyes | [ˈɔljʊs]
olá | hello | [olˈa]
ombro | shoulder | [ˈombrʊ]
onde | where | [ˈoŋdʒy]
ontem | yesterday | [ˈoŋteɪŋ]
onze | eleven | [ˈoŋzy]
organizar | organize | [ˌoɾəɡænizˈar]
orientar | guide | [ˌoɾieɪŋtˈar]
os | the | [ˈʊs]
otimista | optimist | [ˌotʃimˈistæ]
ou | or | [ˈow]
ouso | dare | [ˈowzʊ]
outra | another | [ˈowtræ]
outras | others | [ˈowtræs]
outro | other | [ˈowtrʊ]
ouve | hears | [ˈowvy]
ouvido | hearing | [ˌowvˈidʊ]
ouvindo | listening | [ˌowvˈiŋdʊ]
ouvir | hear | [owvˈir]
paciência | patience | [pˌasjˈeɪŋsjæ]
padaria | bakery | [pˌadaɾˈiæ]
padeira | baker | [pˌadˈeɪɾæ]
pagar | pay | [paɡˈar]
pai | father | [pˈaɪ]
painéis | panels | [paɪnˈɛɪs]
paisagem | landscape | [pˌaɪzˈaʒeɪŋ]
palavras | words | [pˌalˈavræs]
palma | palm | [pˈaʊmæ]
panela | pan | [pˌænˈɛlæ]
panelinha | small pan | [pˌænelˈiɲæ]
pano | cloth | [pˈɐ̃nʊ]
papel | paper | [papˈɛʊ]
para | for | [pˈaɾæ]
parece | seems | [pˌaɾˈɛsy]
parede | wall | [pˌaɾˈedʒy]
paredes | walls | [pˌaɾˈedʒys]
parte | part | [pˈaɾətʃy]
partes | parts | [pˈaɾətʃys]
partida | departure | [pˌaɾətʃˈidæ]
partir | leave | [paɾətʃˈir]
partirá | will leave | [pˌaɾətʃiɾˈa]
passa | passes | [pˈasæ]
passagens | tickets | [pˌasˈaʒeɪŋs]
passam | pass | [pˈasɐ̃ʊ̃]
passando | passing | [pˌasˈɐ̃ŋdʊ]
passeia | strolls | [pˌasˈeɪæ]
passeiam | stroll | [pˌasˈeɪɐ̃ʊ̃]
passeio | walk | [pˌasˈeɪʊ]
pastor | shepherd | [pastˈor]
paulo | Paul | [pˈaʊlʊ]
pedido | order | [pˌedʒˈidʊ]
pedidos | orders | [pˌedʒˈidʊs]
pedra | stone | [pˈɛdræ]
pedras | stones | [pˈɛdræs]
pega | catch | [pˈɛɡæ]
pegam | catch | [pˈɛɡɐ̃ʊ̃]
pegar | catch | [peɡˈar]
pegou | caught | [peɡˈow]
peguei | I caught | [peɡˈeɪ]
pegá-la | catch her | [peɡˈalæ]
pela | by the | [pˈelæ]
pelas | by the | [pˈelæs]
pelo | by the | [pˈelʊ]
pensa | thinks | [pˈeɪŋsæ]
pensar | think | [peɪŋsˈar]
pensava | thought | [pˌeɪŋsˈavæ]
pensei | thought | [peɪŋsˈeɪ]
pequena | small | [pˌekˈenæ]
pequeno | small | [pˌekˈenʊ]
percebemos | we realize | [pˌeɾəsebˈemʊs]
perda | loss | [pˈeɾədæ]
perde | loses | [pˈɛɾədʒy]
perder | lose | [peɾədˈer]
perdi | lost | [peɾədʒˈi]
perdido | lost | [pˌeɾədʒˈidʊ]
perdoa | forgive | [pˌeɾədˈoæ]
perdoe | forgive | [pˌeɾədˈoy]
perdê-la | lose her | [peɾədˈelæ]
perfeito | perfect | [pˌeɾəfˈeɪtʊ]
pergunta | question | [pˌeɾəɡˈũŋtæ]
perguntar | ask | [pˌeɾəɡũŋtˈar]
permanecem | remain | [pˌeɾəmænˈɛseɪŋ]
permitir | allow | [pˌeɾəmitʃˈir]
persianas | blinds | [pˌeɾəsiˈɐ̃næs]
perto | near | [pˈɛɾətʊ]
pessoa | person | [pˌesˈoæ]
pessoas | people | [pˌesˈoæs]
picadas | bites | [pˌikˈadæs]
picam | sting | [pˈikɐ̃ʊ̃]
picos | peaks | [pˈikʊs]
pitoresco | picturesque | [pˌitoɾˈeskʊ]
placas | plates | [plˈakæs]
plantas | plants | [plˈɐ̃ŋtæs]
plataforma | platform | [plˌatafˈɔɾəmæ]
pode | can | [pˈɔdʒy]
podemos | we can | [podˈemʊs]
poderia | could | [pˌodeɾˈiæ]
podia | could | [podʒˈiæ]
podíamos | we could | [podʒˈiæmʊs]
por | by | [pˈor]
porta | door | [pˈɔɾətæ]
português | Portuguese | [pˌoɾətuɡˈes]
posso | can | [pˈɔsʊ]
possíveis | possible | [pˌosˈiveɪs]
posto | station | [pˈostʊ]
potável | drinkable | [pˌotˈaveʊ]
pouco | little | [pˈowkʊ]
poucos | few | [pˈowkʊs]
pousa | lands | [pˈowzæ]
pousada | inn | [pˌowzˈadæ]
pra | for | [prˈa]
praia | beach | [prˈaɪæ]
prazer | pleasure | [prazˈer]
precisa | needs | [prˌesˈizæ]
precisamos | we need | [prˌesizˈɐ̃mʊs]
preciso | precise | [prˌesˈizʊ]
prefere | prefers | [prˌefˈɛɾy]
preferido | favorite | [prˌefeɾˈidʊ]
preocupa | worries | [prˌeokˈupæ]
preocupada | worried | [prˌeokupˈadæ]
prepara | prepares | [prˌepˈaɾæ]
preparada | prepared | [prˌepaɾˈadæ]
presunto | ham | [prˌezˈũŋtʊ]
primeiro | first | [prˌimˈeɪɾʊ]
problema | problem | [prˌoblˈemæ]
procura | search | [prˌokˈuɾæ]
procurando | searching | [prˌokuɾˈɐ̃ŋdʊ]
procurar | to search | [prˌokuɾˈar]
profissionais | professionals | [prˌofisˌionˈaɪs]
profunda | deep | [prˌofˈũŋdæ]
profundamente | deeply | [prˌofũŋdæmˈeɪŋtʃy]
profundo | deep | [prˌofˈũŋdʊ]
pronta | ready | [prˈoŋtæ]
prontas | ready (plural) | [prˈoŋtæs]
pronto | ready | [prˈoŋtʊ]
proteger | to protect | [prˌoteʒˈer]
prova | test | [prˈɔvæ]
prédios | buildings | [prˈɛdʒjʊs]
pude | could | [pˈudʒy]
puro | pure | [pˈuɾʊ]
pânico | panic | [pˈɐ̃nikʊ]
pão | bread | [pˈɐ̃ʊ̃]
qual | which | [kwˈaʊ]
quando | when | [kwˈɐ̃ŋdʊ]
quantas | how many | [kwˈɐ̃ŋtæs]
quanto | how much | [kwˈɐ̃ŋtʊ]
quantos | how many | [kwˈɐ̃ŋtʊs]
quarta | Wednesday | [kwˈaɾətæ]
quarto | room | [kwˈaɾətʊ]
quartos | rooms | [kwˈaɾətʊs]
quase | almost | [kwˈazy]
quatro | four | [kwˈatrʊ]
que | that | [kˈy]
queima | burns | [kˈeɪmæ]
quem | who | [kˈeɪŋ]
quente | hot | [kˈeɪŋtʃy]
quentes | hot (plural) | [kˈeɪŋtʃys]
quer | wants | [kˈɛr]
querer | to want | [keɾˈer]
queria | wanted | [kˌeɾˈiæ]
querida | dear | [kˌeɾˈidæ]
quero | want | [kˈɛɾʊ]
quilo | kilo | [kˈilʊ]
quinze | fifteen | [kˈiŋzy]
rapaz | boy | [xapˈas]
rapidamente | quickly | [xˌapidæmˈeɪŋtʃy]
razão | reason | [xazˈɐ̃ʊ̃]
reais | real | [xeˈaɪs]
realmente | really | [xˌeaʊmˈeɪŋtʃy]
recebe | receives | [xˌesˈɛby]
recebi | received | [xˌesebˈi]
recepciona | welcomes | [xˌesepsiˈonæ]
reconheceu | recognized | [xˌekoɲesˈeʊ]
recupere | recover | [xˌekupˈɛɾy]
redor | around | [xedˈɔr]
reencontrado | reunited | [xˌeeɪŋkoŋtrˈadʊ]
reencontro | reunion | [xˌeeɪŋkˈoŋtrʊ]
reflete | reflects | [xˌeflˈɛtʃy]
reflexão | reflection | [xˌefleksˈɐ̃ʊ̃]
refúgio | refuge | [xˌefˈuʒjʊ]
relacionamento | relationship | [xˌelasˌionæmˈeɪŋtʊ]
relento | outdoors | [xˌelˈeɪŋtʊ]
relógio | watch | [xˌelˈɔʒjʊ]
repente | suddenly | [xˌepˈeɪŋtʃy]
repentina | sudden | [xˌepeɪŋtʃˈinæ]
repetir | repeat | [xˌepetʃˈir]
reserva | reservation | [xˌezˈɛɾəvæ]
reservar | reserve | [xˌezeɾəvˈar]
resgate | rescue | [xˌezɡˈatʃy]
respira | breathes | [xˌespˈiɾæ]
responde | responds | [xˌespˈoŋdʒy]
ressoa | resonates | [xˌesˈoæ]
retoma | resumes | [xˌetˈomæ]
reunidos | gathered | [xˌeunˈidʊs]
revê | reviews | [xevˈe]
risca | risks | [xˈiskæ]
rochas | rocks | [xˈɔʃæs]
rodovia | highway | [xˌodovˈiæ]
rodoviária | bus station | [xˌodoviˈaɾjæ]
rosto | face | [xˈostʊ]
roupas | clothes | [xˈowpæs]
rua | street | [xˈuæ]
ruas | streets | [xˈuæs]
rápido | fast | [xˈapidʊ]
sabe | knows | [sˈaby]
sabem | know | [sˈabeɪŋ]
saberei | will know | [sˌabeɾˈeɪ]
saem | leave | [sˈaeɪŋ]
sai | leaves | [sˈaɪ]
saiba | know | [sˈaɪbæ]
saindo | leaving | [sˌaˈiŋdʊ]
sair | leave | [saˈir]
sala | room | [sˈalæ]
salvou | saved | [saʊvˈow]
salão | hall | [salˈɐ̃ʊ̃]
sanduíches | sandwiches | [sˌɐ̃ŋduˈiʃys]
saímos | we left | [sˌaˈimʊs]
se | if | [sˈy]
sede | thirst | [sˈɛdʒy]
segue | follows | [sˈɛɡy]
seguem | follow | [sˈɛɡeɪŋ]
segui-la | follow her | [seɡˈilæ]
seguindo | following | [sˌeɡˈiŋdʊ]
seguinte | next | [sˌeɡˈiŋtʃy]
segura | safe | [sˌeɡˈuɾæ]
segurando | holding | [sˌeɡuɾˈɐ̃ŋdʊ]
seguros | safe | [sˌeɡˈuɾʊs]
sei | I know | [sˈeɪ]
seis | six | [sˈeɪs]
sem | without | [sˈeɪŋ]
semana | week | [sˌemˈɐ̃næ]
sempre | always | [sˈeɪmpry]
sendo | being | [sˈeɪŋdʊ]
senhor | sir | [seɲˈor]
senta | sits | [sˈeɪŋtæ]
senta-se | sits down | [sˈeɪŋtæsˈy]
sentada | sitting | [sˌeɪŋtˈadæ]
sentam | sit | [sˈeɪŋtɐ̃ʊ̃]
sentar | sit | [seɪŋtˈar]
sente | feels | [sˈeɪŋtʃy]
sentindo | feeling | [sˌeɪŋtʃˈiŋdʊ]
sentir | feel | [seɪŋtʃˈir]
separados | separated | [sˌepaɾˈadʊs]
separam | separate | [sˌepˈaɾɐ̃ʊ̃]
separemos | let's separate | [sˌepaɾˈemʊs]
ser | to be | [sˈer]
seremos | we will be | [seɾˈemʊs]
serra | mountain range | [sˈɛxæ]
serve | serves | [sˈɛɾəvy]
servido | served | [sˌeɾəvˈidʊ]
será | will be | [seɾˈa]
sessenta | sixty | [sˌesˈeɪŋtæ]
sete | seven | [sˈɛtʃy]
seu | his | [sˈeʊ]
seus | his | [sˈeʊs]
si | self | [sˈi]
siga | follow | [sˈiɡæ]
significa | means | [sˌiɡnifˈikæ]
significado | meaning | [sˌiɡnifikˈadʊ]
silêncio | silence | [sˌilˈeɪŋsjʊ]
sim | yes | [sˈiŋ]
simples | simple | [sˈimplys]
simplesmente | simply | [sˌimplezmˈeɪŋtʃy]
simpáticas | nice | [sˌimpˈatʃikæs]
sinais | signals | [sinˈaɪs]
sinal | signal | [sinˈaʊ]
sinto | feel | [sˈiŋtʊ]
sinto-me | I feel | [sˈiŋtʊmy]
soa | sounds | [sˈoæ]
sobe | rises | [sˈɔby]
sobem | rise | [sˈɔbeɪŋ]
sobre | about | [sˈobry]
sobrecarrega | overloads | [sobɾekˌaxˈɛɡæ]
sobreviver | survive | [sobɾevivˈer]
sobreviveram | survived | [sobɾevˌivˈeɾɐ̃ʊ̃]
sobrevivência | survival | [sobɾevˌivˈeɪŋsjæ]
socorrista | rescuer | [sˌokoxˈistæ]
socorristas | rescuers | [sˌokoxˈistæs]
socorro | help | [sˌokˈoxʊ]
socorros | helps | [sˌokˈoxʊs]
sofá | sofa | [sofˈa]
sol | sun | [sˈɔl]
solidões | lonelinesses | [sˌolidˈõjs]
som | sound | [sˈoŋ]
somos | we are | [sˈomʊs]
sonho | dream | [sˈoɲʊ]
sonhos | dreams | [sˈoɲʊs]
sons | sounds | [sˈoŋs]
sopa | soup | [sˈopæ]
sophie | Sophie | [sˌofˈiy]
sopra | blows | [sˈɔpræ]
sorri | smiles | [soxˈi]
sorriso | smile | [sˌoxˈizʊ]
sorte | luck | [sˈɔɾətʃy]
sou | I am | [sˈow]
soubesse | knew | [sˌowbˈɛsy]
sozinha | alone | [sˌozˈiɲæ]
sua | her | [sˈuæ]
suas | her | [sˈuæs]
suavemente | gently | [sˌuavemˈeɪŋtʃy]
subir | climb | [subˈir]
surge | emerges | [sˈuɾəʒy]
surgem | emerge | [sˈuɾəʒeɪŋ]
surpresa | surprise | [sˌuɾəprˈezæ]
surpreso | surprised | [sˌuɾəprˈezʊ]
suspira | sighs | [sˌuspˈiɾæ]
suéter | sweater | [sˌuˈɛter]
são | are | [sˈɐ̃ʊ̃]
só | only | [sˈɔ]
sólida | solid | [sˈɔlidæ]
sólido | solid | [sˈɔlidʊ]
súbita | sudden | [sˈubitæ]
talos | stalks | [tˈalʊs]
talvez | maybe | [taʊvˈes]
também | also | [tɐ̃mbˈeɪŋ]
tantas | so many | [tˈɐ̃ŋtæs]
tanto | so much | [tˈɐ̃ŋtʊ]
tarde | afternoon | [tˈaɾədʒy]
tchau | bye | [tʃˈaʊ]
te | you | [tʃˈy]
tecido | fabric | [tˌesˈidʊ]
telefone | telephone | [tˌelefˈony]
telefones | telephones | [tˌelefˈonys]
tem | has | [tˈeɪŋ]
temos | we have | [tˈemʊs]
temperatura | temperature | [tˌeɪmpeɾatˈuɾæ]
tempestades | storms | [tˌeɪmpestˈadʒys]
tempo | time | [tˈeɪmpʊ]
tenha | have | [tˈeɲæ]
tenho | I have | [tˈeɲʊ]
tensa | tense | [tˈeɪŋsæ]
tenta | tries | [tˈeɪŋtæ]
tentativa | attempt | [tˌeɪŋtatʃˈivæ]
tento | I try | [tˈeɪŋtʊ]
ter | to have | [tˈer]
teria | would have | [tˌeɾˈiæ]
terrivelmente | terribly | [tˌexivɛʊmˈeɪŋtʃy]
terrível | terrible | [tˌexˈiveʊ]
teve | had | [tˈevy]
tietê | Tietê | [tʃˌietˈe]
tinha | had | [tʃˈiɲæ]
tinto | red | [tʃˈiŋtʊ]
tira | strip | [tʃˈiɾæ]
tive | had | [tʃˈivy]
tivesse | had | [tʃˌivˈɛsy]
toca | touches | [tˈɔkæ]
tocam | touch | [tˈɔkɐ̃ʊ̃]
tocá-las | touch them | [tokˈalæs]
toda | all | [tˈodæ]
todas | all | [tˈodæs]
todo | all | [tˈodʊ]
todos | all | [tˈodʊs]
toma | takes | [tˈomæ]
tomar | to take | [tomˈar]
tomara | I wish | [tˌomˈaɾæ]
tomates | tomatoes | [tˌomˈatʃys]
tomo | I take | [tˈomʊ]
torna | becomes | [tˈɔɾənæ]
tornam | become | [tˈɔɾənɐ̃ʊ̃]
tornando | turning | [tˌoɾənˈɐ̃ŋdʊ]
trabalho | work | [trˌabˈaljʊ]
trancou | locked | [trɐ̃ŋkˈow]
tranquilo | calm | [trˌɐ̃ŋkwˈilʊ]
transforma | transforms | [trˌɐ̃ŋsfˈɔɾəmæ]
transformo | I transform | [trˌɐ̃ŋsfˈɔɾəmʊ]
transformou | transformed | [trˌɐ̃ŋsfoɾəmˈow]
traz | brings | [trˈas]
trazer | to bring | [trazˈer]
trazido | brought | [trˌazˈidʊ]
trem | train | [trˈeɪŋ]
treme | shakes | [trˈemy]
tremendo | tremendous | [trˌemˈeɪŋdʊ]
trens | trains | [trˈeɪŋs]
trilha | trail | [trˈiljæ]
trilhas | trails | [trˈiljæs]
tristeza | sadness | [trˌistˈezæ]
trouxe | brought | [trˈowsy]
trás | behind | [trˈas]
trânsito | traffic | [trˈɐ̃ŋzitʊ]
três | three | [trˈes]
tua | your | [tˈuæ]
tudo | everything | [tˈudʊ]
tá | is | [tˈa]
tão | so | [tˈɐ̃ʊ̃]
tê-la | to have her | [tˈelæ]
têm | have | [tˈeɪŋ]
um | one | [ˈũŋ]
uma | a | [ˈumæ]
umas | some | [ˈumæs]
urtigas | nettles | [ˌuɾətʃˈiɡæs]
usando | using | [ˌuzˈɐ̃ŋdʊ]
vagão | wagon | [vaɡˈɐ̃ʊ̃]
vai | goes | [vˈaɪ]
vale | valley | [vˈaly]
valer | to be worth | [valˈer]
vamos | let's go | [vˈɐ̃mʊs]
velha | old | [vˈɛljæ]
vem | comes | [vˈeɪŋ]
vento | wind | [vˈeɪŋtʊ]
ver | see | [vˈer]
verdade | truth | [vˌeɾədˈadʒy]
verdadeiro | true | [vˌeɾədadˈeɪɾʊ]
verdes | green | [vˈeɾədʒys]
verifica | checks | [vˌeɾifˈikæ]
verificar | to check | [vˌeɾifikˈar]
verificasse | checked | [vˌeɾifikˈasy]
verifiquei | I checked | [vˌeɾifikˈeɪ]
vermelha | red | [vˌeɾəmˈeljæ]
verão | summer | [veɾˈɐ̃ʊ̃]
vez | time | [vˈes]
vezes | times | [vˈezys]
viagem | trip | [vˌiˈaʒeɪŋ]
vida | life | [vˈidæ]
vidas | lives | [vˈidæs]
viemos | we came | [vˌiˈemʊs]
vila | village | [vˈilæ]
vinho | wine | [vˈiɲʊ]
vinhos | wines | [vˈiɲʊs]
vinte | twenty | [vˈiŋtʃy]
vira | turns | [vˈiɾæ]
viram | saw | [vˈiɾɐ̃ʊ̃]
virar | turn | [viɾˈar]
vista | view | [vˈistæ]
visto | seen | [vˈistʊ]
viva | live | [vˈivæ]
viveu | lived | [vivˈeʊ]
você | you | [vosˈe]
vocês | you (plural) | [vosˈes]
volta | return | [vˈɔltæ]
voltam | return | [vˈɔltɐ̃ʊ̃]
voltando | returning | [vˌowtˈɐ̃ŋdʊ]
voltar | return | [vowtˈar]
volto | I return | [vˈɔltʊ]
vou | I go | [vˈow]
voz | voice | [vˈɔs]
vê | sees | [vˈe]
às | to the | [ˈaːs]
água | water | [ˈaɡwæ]
árvores | trees | [ˈaɾəvoɾys]
ótima | great | [ˈɔtʃimæ]
ótimo | great | [ˈɔtʃimʊ]
ônibus | bus | [ˈonibus]
última | last | [ˈultʃimæ]
úmida | humid | [ˈũmidæ]
útil | useful | [ˈutʃiʊ]
