# Complete Dutch Dictionary
# Generated from story and phrases
# Format: word | [IPA]
# Total words: 1837

aan | [ˈaːn]
hˈyr | [hˈaː (en)stɹˈɛs(nl) ˈɛɪ ˈɛr]
hˈyrən | [hˈaː (en)stɹˈɛs(nl) ˈɛɪ ˈɛr (en)ʃwˈɑː(nl) ˈɛn]
hˈɑloː | [hˈaː (en)stɹˈɛs ˈalfə(nl) ˈɛl ˈoː (en)lˈɛŋθənd(nl)]
hˈɛlpən | [hˈaː (en)stɹˈɛs ˌəʊpənˈɛː(nl) ˈɛl pˈeː (en)ʃwˈɑː(nl) ˈɛn]
hˈʌʊt | [hˌaː(en)stɹˌɛstˈɜːndvˌiːˌʊpsɪlˌɒn(nl)tˈeː]
i'm | [ˈim]
id | [ˈɪt]
idee | [idˈeː]
identiteitsbewijs | [ˌidɛntˌitɛɪtzbəʋˈɛɪs]
ieder | [ˈidər]
iedereen | [ˌidɪːrˈeːn]
iemand | [ˈimɑnt]
iets | [ˈits]
ik | [ˈɪk]
illusie | [ɪlˈyzˌi]
in | [ˈɪn]
inbegrepen | [ˈɪnbəɣrˌeːpən]
included | [ˈɪnklˌydɛt]
inclusief | [ˈɪnklyzˌif]
increase | [ˈɪnkrˌeːaːzə]
indienen | [ˈɪndˌinən]
informal | [ˈɪnfɔrmˌɑl]
ingang | [ˈɪnɣˌɑŋ]
ingelicht | [ˈɪnɣəlˌɪxt]
ingeslikt | [ˈɪnɣəslˌɪkt]
inpakken | [ˈɪnpˌɑkən]
inscriptie | [ɪnskrˈɪpsi]
instappen | [ˈɪnstˌɑpən]
insurance | [ˈɪnsˌyrɑnsə]
integendeel | [ˈɪntˌeːɣəndˌeːl]
intentie | [ˈɪntˌɛntsi]
intercity | [ˈɪntərsˌiti]
interpreteer | [ˌɪntərprətˈɪr]
interpreteert | [ˌɪntərprətˈɪrt]
inzicht | [ˈɪnzˌɪxt]
inzien | [ˈɪnzˌin]
is | [ˈɪs]
it | [ˈɪt]
it's | [ˈɪts]
ja | [jˈaː]
jammer | [jˈɑmər]
jas | [jˈɑs]
je | [jˈə]
jeugd | [jˈøːxt]
jij | [jˈɛɪ]
jongeman | [jˈɔŋəmˌɑn]
jou | [jˈʌʊ]
jullie | [jɵlˈi]
jə | [jˈeː]
jɛɪ | [jˈeː (en)ˌəʊpənˈɛː smˈɔːlkˌapˈaɪ(nl)]
jˈaː | [jˈeː (en)stɹˈɛs(nl) ˈaː (en)lˈɛŋθənd(nl)]
jˈɑmər | [jˈeː (en)stɹˈɛs ˈalfə(nl) ˈɛm (en)ʃwˈɑː(nl) ˈɛr]
kaart | [kˈaːrt]
kaartje | [kˈaːrtʲə]
kaartjes | [kˈaːrtʲəs]
kaas | [kˈaːs]
kalm | [kˈɑlm]
kamer | [kˈaːmər]
kamers | [kˈaːmərs]
kan | [kˈɑn]
kant | [kˈɑnt]
kantoor | [kɑntˈoːr]
kazen | [kˈaːzən]
kaːdˈoː | [kˈaː ˈaː (en)lˈɛŋθənd(nl) dˈeː (en)stɹˈɛs(nl) ˈoː (en)lˈɛŋθənd(nl)]
keep | [kˈeːp]
keer | [kˈɪːr]
kennen | [kˈɛnən]
kent | [kˈɛnt]
keren | [kˈɪːrən]
kerft | [kˈɛrft]
kerk | [kˈɛrk]
kerstfeest | [kˈɛrstfeːst]
keuze | [kˈøːzə]
key | [kˈeːi]
kiezen | [kˈizən]
kijk | [kˈɛɪk]
kijken | [kˈɛɪkən]
kijkt | [kˈɛɪkt]
kilo | [kˈiloː]
klaar | [klˈaːr]
klacht | [klˈɑxt]
kleding | [klˈeːdɪŋ]
klein | [klˈɛɪn]
kleine | [klˈɛɪnə]
kleiner | [klˈɛɪnər]
kleintje | [klˈɛɪntʲə]
kleren | [klˈɪːrən]
kleur | [klˈøːr]
klinkt | [klˈɪŋkt]
klˈøːr | [kˈaː ˈɛl (en)stɹˈɛs(nl) ˌoːstrˈeːp (en)lˈɛŋθənd(nl) ˈɛr]
klˈɑjm | [kˈaː ˈɛl (en)stɹˈɛs ˈalfə(nl) jˈeː ˈɛm]
klˈɑxt | [kˈaː ˈɛl (en)stɹˈɛs ˈalfə(nl) ˈɪks tˈeː]
know | [knˈɔw]
knus | [knˈɵs]
koffie | [kɔfˈi]
kom | [kˈɔm]
komen | [kˈoːmən]
komt | [kˈɔmt]
konden | [kˈɔndən]
kondigt | [kˈɔndɪxt]
kookt | [kˈoːkt]
koopt | [kˈoːpt]
koorts | [kˈɔːrts]
koos | [kˈoːs]
kopen | [kˈoːpən]
kopje | [kˈɔpjə]
kost | [kˈɔst]
kosten | [kˈɔstən]
kouder | [kˈʌʊdər]
krachten | [krˈɑxtən]
krijgen | [krˈɛɪɣən]
kruidenier | [krˌœydənˈir]
kruidenierswinkel | [krˌœydənˌirsʋɪŋkˈɛl]
krˈeːdɪtkˌɑrts | [kˈaː ˈɛr (en)stɹˈɛs(nl) ˈeː (en)lˈɛŋθənd(nl) dˈeː (en)smˈɔːlkˌapˈaɪ(nl) tˈeː kˈaː (en)sˈɛkəndɹɪstɹˌɛs ˈalfə(nl) ˈɛr tˈeː s]
krˈɛɪɣən | [kˈaː ˈɛr (en)stɹˈɛs ˌəʊpənˈɛː smˈɔːlkˌapˈaɪ ɡˈamə ʃwˈɑː(nl) ˈɛn]
kunnen | [kˈɵnən]
kunt | [kˈɵnt]
kwalificaties | [kʋˌaːlifikˈaːtsis]
kwamen | [kʋˈaːmən]
kwetsbaarheid | [kʋˈɛtzbaːrhˌɛɪt]
kwetsen | [kʋˈɛtsən]
kwijt | [kʋˈɛɪt]
kwijtgeraakt | [kʋˈɛɪtɣɪːrˌaːkt]
kɑn | [kˈɑn]
kɑntˈoːr | [kˈaː (en)ˈalfə(nl) ˈɛn tˈeː (en)stɹˈɛs(nl) ˈoː (en)lˈɛŋθənd(nl) ˈɛr]
kɵnt | [kˌaː(en)ˌəʊbˌɑː(nl)ˈɛntˌeː]
kʋˈɛɪt | [kˈaː (en)vˌiːhˈʊk stɹˈɛs ˌəʊpənˈɛː smˈɔːlkˌapˈaɪ(nl) tˈeː]
kʋˌaːlifikˈaːtsis | [kˈaː (en)vˌiːhˈʊk sˈɛkəndɹɪstɹˌɛs(nl) ˈaː (en)lˈɛŋθənd(nl) ˈɛl ˈiː ˈɛf ˈiː kˈaː (en)stɹˈɛs(nl) ˈaː (en)lˈɛŋθənd(nl) tˈeː s ˈiː s]
kˈaːmər | [kˈaː (en)stɹˈɛs(nl) ˈaː (en)lˈɛŋθənd(nl) ˈɛm (en)ʃwˈɑː(nl) ˈɛr]
kˈaːrt | [kˈaː (en)stɹˈɛs(nl) ˈaː (en)lˈɛŋθənd(nl) ˈɛr tˈeː]
kˈaːrtʲə | [kˈaː (en)stɹˈɛs(nl) ˈaː (en)lˈɛŋθənd(nl) ˈɛr tˈeː jˈeː (en)ʃwˈɑː(nl)]
kˈoːpən | [kˈaː (en)stɹˈɛs(nl) ˈoː (en)lˈɛŋθənd(nl) pˈeː (en)ʃwˈɑː(nl) ˈɛn]
kˈɔm | [kˈaː (en)stɹˈɛs ˌəʊpənˈɔː(nl) ˈɛm]
kˈɔntɑkt | [kˈaː (en)stɹˈɛs ˌəʊpənˈɔː(nl) ˈɛn tˈeː (en)ˈalfə(nl) kˈaː tˈeː]
kˈɔs | [kˈaː (en)stɹˈɛs ˌəʊpənˈɔː(nl) s]
kˈɔst | [kˈaː (en)stɹˈɛs ˌəʊpənˈɔː(nl) s tˈeː]
kˈɔstən | [kˈaː (en)stɹˈɛs ˌəʊpənˈɔː(nl) s tˈeː (en)ʃwˈɑː(nl) ˈɛn]
kˈɔːrts | [kˈaː (en)stɹˈɛs ˌəʊpənˈɔː lˈɛŋθənd(nl) ˈɛr tˈeː s]
kˈɛrstfeːst | [kˈaː (en)stɹˈɛs ˌəʊpənˈɛː(nl) ˈɛr s tˈeː ˈɛf ˈeː (en)lˈɛŋθənd(nl) s tˈeː]
kˌɔntroːlˈɪːrən | [kˈaː (en)sˈɛkəndɹɪstɹˌɛs ˌəʊpənˈɔː(nl) ˈɛn tˈeː ˈɛr ˈoː (en)lˈɛŋθənd(nl) ˈɛl (en)stɹˈɛs smˈɔːlkˌapˈaɪ lˈɛŋθənd(nl) ˈɛr (en)ʃwˈɑː(nl) ˈɛn]
laat | [lˈaːt]
laatste | [lˈaːtstə]
lach | [lˈɑx]
lacht | [lˈɑxt]
landhuis | [lˈɑndhˌœys]
landschap | [lˈɑndsxˌɑp]
landt | [lˈɑnt]
lang | [lˈɑŋ]
lange | [lˈɑŋə]
langer | [lˈɑŋər]
langzaam | [lˈɑŋzaːm]
langzamer | [lˈɑŋzaːmər]
laptop | [(en)lˈaptɒp(nl)]
larger | [lˈɑrɣər]
late | [lˈaːtə]
laten | [lˈaːtən]
later | [lˈaːtər]
leave | [lˈeːaːvə]
leeft | [lˈeːft]
leeftijd | [lˈeːftɛɪt]
leerde | [lˈɪːrdə]
leert | [lˈɪːrt]
left | [lˈɛft]
leggen | [lˈɛɣən]
legt | [lˈɛxt]
leidde | [lˈɛɪdə]
leider | [lˈɛɪdər]
lekker | [lˈɛkər]
let | [lˈɛt]
let's | [lˈɛts]
leven | [lˈeːvən]
levend | [lˈeːvənt]
lezen | [lˈeːzən]
lichaam | [lɪxˈaːm]
licht | [lˈɪxt]
liefde | [lˈivdə]
liefst | [lˈifst]
liepen | [lˈipən]
liet | [lˈit]
liever | [lˈivər]
lieverd | [lˈivɛrt]
lijkt | [lˈɛɪkt]
lijst | [lˈɛɪst]
like | [lˈikə]
limiet | [limˈit]
limit | [lˈimɪt]
limˈit | [ˈɛl ˈiː ˈɛm (en)stɹˈɛs(nl) ˈiː tˈeː]
links | [lˈɪŋks]
little | [lˈɪtlə]
live | [lˈivə]
loaded | [lˈoːaːdˌɛt]
lokale | [loːkˈaːlə]
loket | [loːkˈɛt]
londen | [lˈɔndən]
london | [lɔndˈɔn]
long | [lˈɔŋ]
looking | [lˈoːkɪŋ]
loopt | [lˈoːpt]
lopen | [lˈoːpən]
lost | [lˈɔst]
lot | [lˈɔt]
lucas | [lˈykɑs]
lucht | [lˈɵxt]
lucifer | [lˈysifər]
lucifers | [lˈysifərs]
luck | [lˈɵk]
luggage | [lɵɣˈaːʒə]
luiken | [lˈœykən]
luisteren | [lˈœystərən]
luistert | [lˈœystərt]
lˈaːt | [ˈɛl (en)stɹˈɛs(nl) ˈaː (en)lˈɛŋθənd(nl) tˈeː]
lˈaːtən | [ˈɛl (en)stɹˈɛs(nl) ˈaː (en)lˈɛŋθənd(nl) tˈeː (en)ʃwˈɑː(nl) ˈɛn]
lˈaːtər | [ˈɛl (en)stɹˈɛs(nl) ˈaː (en)lˈɛŋθənd(nl) tˈeː (en)ʃwˈɑː(nl) ˈɛr]
lˈɑŋ | [ˈɛl (en)stɹˈɛs ˈalfə(nl) ˈɛn]
lˈɑŋzaːmər | [ˈɛl (en)stɹˈɛs ˈalfə(nl) ˈɛn zˈɛt ˈaː (en)lˈɛŋθənd(nl) ˈɛm (en)ʃwˈɑː(nl) ˈɛr]
lˈɔndən | [ˈɛl (en)stɹˈɛs ˌəʊpənˈɔː(nl) ˈɛn dˈeː (en)ʃwˈɑː(nl) ˈɛn]
lˈɪŋks | [ˌɛl(en)stɹˌɛssmˈɔːlkˌapˌaɪ(nl)ˈɛnkˌaːˌɛs]
maak | [mˈaːk]
maakt | [mˈaːkt]
maakte | [mˈaːktə]
maand | [mˈaːnt]
maandelijkse | [mˈaːndələksə]
maar | [mˈaːr]
maastricht | [mˈaːstrɪxt]
maat | [mˈaːt]
make | [mˈaːkə]
maken | [mˈaːkən]
makkelijk | [mˈɑkələk]
man | [mˈɑn]
many | [mˈaːni]
marc | [mˈɑrk]
maybe | [mˈaːjbə]
me | [mˈə]
meal | [mˈeːɑl]
mean | [mˈeːɑn]
medewerkster | [mˈeːdəʋˌɛrkstər]
mee | [mˈeː]
meegenomen | [mˈeːɣənˌoːmən]
meenemen | [mˈeːnˌeːmən]
meer | [mˈɪːr]
meet | [mˈeːt]
melden | [mˈɛldən]
menselijke | [mˈɛnsələkə]
mensen | [mˈɛnsən]
menu | [mənˈy]
merkt | [mˈɛrkt]
merry | [mˈɛɾri]
met | [mˈɛt]
meteen | [mɛtˈeːn]
meter | [mˈeːtər]
metro | [mˈeːtroː]
mezelf | [məsˈɛlf]
middag | [mˈɪdɑx]
middags | [mˈɪdɑxs]
middelbare | [mˈɪdəlbˌaːrə]
mij | [mˈɛɪ]
mijn | [mˈɛɪn]
mind | [mˈɪnt]
minder | [mˈɪndər]
minuten | [mˈinytən]
mis | [mˈɪs]
misschien | [mɪsxˈin]
missen | [mˈɪsən]
mist | [mˈɪst]
moe | [mˈu]
moed | [mˈut]
moeilijke | [mˈujləkə]
moet | [mˈut]
moeten | [mˈutən]
mogelijke | [mˈoːɣələkə]
moment | [moːmˈɛnt]
momenten | [moːmˈɛntən]
money | [mˈoːnəˌi]
mont | [mˈɔnt]
month | [mˈɔnt]
monthly | [mˈɔntli]
mooi | [mˈoːj]
more | [mˈoːrə]
morgen | [mˈɔrɣən]
motorgeluid | [mˈoːtɔrɣˌeːlœyt]
moːmˈɛnt | [ˈɛm ˈoː (en)lˈɛŋθənd(nl) ˈɛm (en)stɹˈɛs ˌəʊpənˈɛː(nl) ˈɛn tˈeː]
much | [mˈɵx]
muren | [mˈyrən]
muur | [mˈyr]
my | [mˈi]
mysterieuze | [mˌɪstɪːrijˈøːzə]
mə | [mˈeː]
mənˈy | [ˈɛm (en)ʃwˈɑː(nl) ˈɛn (en)stɹˈɛs(nl) ˈɛɪ]
mɛt | [mˈɛt]
mɛɪn | [ˈɛm (en)ˌəʊpənˈɛː smˈɔːlkˌapˈaɪ(nl) ˈɛn]
mɪsxˈin | [ˈɛm (en)smˈɔːlkˌapˈaɪ(nl) s ˈɪks (en)stɹˈɛs(nl) ˈiː ˈɛn]
mˈaːkən | [ˈɛm (en)stɹˈɛs(nl) ˈaː (en)lˈɛŋθənd(nl) kˈaː (en)ʃwˈɑː(nl) ˈɛn]
mˈaːndələksə | [ˈɛm (en)stɹˈɛs(nl) ˈaː (en)lˈɛŋθənd(nl) ˈɛn dˈeː (en)ʃwˈɑː(nl) ˈɛl (en)ʃwˈɑː(nl) kˈaː s (en)ʃwˈɑː(nl)]
mˈaːnt | [ˈɛm (en)stɹˈɛs(nl) ˈaː (en)lˈɛŋθənd(nl) ˈɛn tˈeː]
mˈaːt | [ˈɛm (en)stɹˈɛs(nl) ˈaː (en)lˈɛŋθənd(nl) tˈeː]
mˈut | [ˈɛm (en)stɹˈɛs(nl) y tˈeː]
mˈɔrɣən | [ˈɛm (en)stɹˈɛs ˌəʊpənˈɔː(nl) ˈɛr (en)ɡˈamə ʃwˈɑː(nl) ˈɛn]
mˈɛɪ | [ˈɛm (en)stɹˈɛs ˌəʊpənˈɛː smˈɔːlkˌapˈaɪ(nl)]
na | [nˈaː]
naam | [nˈaːm]
naar | [nˈaːr]
naartoe | [nˈaːrtu]
naast | [nˈaːst]
nacht | [nˈɑxt]
nachten | [nˈɑxtən]
nadert | [nˈaːdərt]
name | [nˈaːmə]
nat | [nˈɑt]
natuur | [naːtˈyr]
natuurlijk | [naːtˈyrlək]
nauwelijks | [nˈʌʊələks]
naïviteit | [nˌaːivitˈɛɪt]
naːr | [ˈɛn ˈaː (en)lˈɛŋθənd(nl) ˈɛr]
near | [nˈeːɑr]
nearby | [nˈeːɑrbˌi]
nearest | [nˈeːaːrˌɛst]
nederlandse | [nˈeːdərlˌɑndsə]
nee | [nˈeː]
need | [nˈeːt]
needed | [nˈeːdɛt]
neem | [nˈeːm]
neemt | [nˈeːmt]
neighborhood | [nˌɛɪɣbɔrhˈoːt]
nemen | [nˈeːmən]
nerveus | [nˈɛrvøːs]
nervositeit | [nˌɛrvoːzitˈɛɪt]
net | [nˈɛt]
never | [nˈeːvər]
new | [nˈyʊ]
next | [nˈɛkst]
nice | [nˈisə]
niet | [nˈit]
niets | [nˈits]
nietwaar | [nˈitwaːr]
nieuw | [nˈiw]
nieuwe | [nˈiwə]
nieuwjaar | [nˈiwjaːr]
nieuws | [nˈiws]
nieuwsgierig | [nˈiwsɣˌirəx]
night | [nˈɪxt]
nights | [nˈɪxts]
niks | [nˈɪks]
no | [nˈoː]
noch | [nˈɔx]
nodig | [nˈoːdəx]
nog | [nˈɔx]
noodzaak | [noːdzˈaːk]
nooit | [nˈoːjt]
normaal | [nɔrmˈaːl]
normandië | [nˈɔrmɑndˌiə]
not | [nˈɔt]
november | [noːvˈɛmbər]
now | [nˈɔw]
nu | [nˈy]
number | [nˈɵmbər]
nummer | [nˈɵmər]
nutteloos | [nˈɵtəlˌoːs]
nˈaːm | [ˈɛn (en)stɹˈɛs(nl) ˈaː (en)lˈɛŋθənd(nl) ˈɛm]
nˈaːst | [ˈɛn (en)stɹˈɛs(nl) ˈaː (en)lˈɛŋθənd(nl) s tˈeː]
nˈeː | [ˈɛn (en)stɹˈɛs(nl) ˈeː (en)lˈɛŋθənd(nl)]
nˈit | [ˈɛn (en)stɹˈɛs(nl) ˈiː tˈeː]
nˈiwjaːr | [ˈɛn (en)stɹˈɛs(nl) ˈiː vˈeː jˈeː ˈaː (en)lˈɛŋθənd(nl) ˈɛr]
nˈoːdəx | [ˈɛn (en)stɹˈɛs(nl) ˈoː (en)lˈɛŋθənd(nl) dˈeː (en)ʃwˈɑː(nl) ˈɪks]
nˈy | [ˈɛn (en)stɹˈɛs(nl) ˈɛɪ]
nˈɑxt | [ˈɛn (en)stɹˈɛs ˈalfə(nl) ˈɪks tˈeː]
nˈɑxtən | [ˈɛn (en)stɹˈɛs ˈalfə(nl) ˈɪks tˈeː (en)ʃwˈɑː(nl) ˈɛn]
nˈɔx | [ˈɛn (en)stɹˈɛs ˌəʊpənˈɔː(nl) ˈɪks]
nˌit | [ˈɛn (en)sˈɛkəndɹɪstɹˌɛs(nl) ˈiː tˈeː]
o'clock | [ˈoːklɔk]
ober | [ˈoːbər]
ochtend | [ˈɔxtənt]
ochtendcafé | [ˌɔxtəndkaːfˈeː]
ochtendlicht | [ˈɔxtəndlˌɪxt]
of | [ˈɔf]
offered | [ˈɔfɪːrˌɛt]
office | [ˈɔfəs]
ogen | [ˈoːɣən]
oh | [ˈɔh]
okay | [ˈoːkaːj]
oké | [oːkˈeː]
om | [ˈɔm]
oma | [ˈoːmaː]
omarmd | [ˈoːmɑrmt]
omdraaien | [ˈɔmdraːjən]
omgaan | [ɔmɣˈaːn]
omgeving | [ɔmɣˈeːvɪŋ]
omhelzen | [ˈɔmhɛlzən]
omhoog | [ɔmhˈoːx]
omlaag | [ɔmlˈaːx]
omroepbericht | [ˈɔmrupbˌɪːrɪxt]
omzet | [ˈɔmzɛt]
on | [ˈɔn]
onder | [ˈɔndər]
onderaan | [ˈɔndərˌaːn]
onderdak | [ˈɔndərdˌɑk]
ondertussen | [ˈɔndərtˌɵsən]
onderwijst | [ˈɔndərʋˌɛɪst]
onderwijzen | [ˈɔndərʋˌɛɪzən]
one | [ˈoːnə]
one-way | [ˈoːnəʋˈaːj]
ongelovig | [ˌɔnɣəlˈoːvəx]
ongeveer | [ˌɔnɣəvˈɪːr]
ongewoon | [ˌɔnɣəʋˈoːn]
onmiddellijk | [ɔnmˈɪdəllək]
onmogelijk | [ɔnmˈoːɣələk]
ons | [ˈɔns]
onschuld | [ɔnsxˈɵlt]
ontbijt | [ɔntbˈɛɪt]
ontdekken | [ɔntdˈɛkən]
ontdekking | [ɔntdˈɛkɪŋ]
ontdekkingen | [ɔntdˈɛkɪŋən]
ontdekt | [ɔntdˈɛkt]
ontmoetingen | [ɔntmˈutɪŋən]
ontvangen | [ɔntvˈɑŋən]
ontvluchten | [ɔntvlˈɵxtən]
ontwikkeling | [ɔntʋˈɪkəlˌɪŋ]
onverschillig | [ɔnvərsxˈɪləx]
onverschilligheid | [ɔnvərsxˈɪləxhˌɛɪt]
onverwachte | [ɔnvərʋˈɑxtə]
onvrijwillige | [ɔnvrɛɪʋˈɪləɣə]
onze | [ɔnzˈə]
onzekerheid | [ɔnzˈeːkərhˌɛɪt]
ooit | [ˈoːjt]
ook | [ˈoːk]
op | [ˈɔp]
open | [ˈoːpən]
openbaar | [ˈoːpənbˌaːr]
openen | [ˈoːpənən]
opent | [ˈoːpənt]
opgetrokken | [ˈɔpɣətrˌɔkən]
opgewonden | [ˈɔpɣəʋˌɔndən]
opkomende | [ˈɔpkˌoːməndə]
opluchting | [ˈɔplˌɵxtɪŋ]
opnamekosten | [ˈɔpnˌaːməkˌɔstən]
opnemen | [ɔpnˈeːmən]
oppakt | [ˈɔpɑkt]
opportunities | [ˈɔppˌɔrtynˌitsis]
opposite | [ˈɔppˌoːzitə]
optimistisch | [ˈɔptimˌɪstis]
opwinding | [ˈɔpʋˌɪndɪŋ]
or | [ˈɔr]
oriëntatie | [ˌoːriəntˈaːtsi]
oriënteren | [ˌoːriəntˈɪːrən]
oude | [ˈʌʊdə]
out | [ˈʌʊt]
over | [ˈoːvər]
overal | [ˌoːvərˈɑl]
overboeking | [ˌoːvərbˈukˌɪŋ]
overeind | [ˌoːvərˈɛɪnt]
overkomt | [ˌoːvərkˈɔmt]
overleven | [ˌoːvərlˈeːvən]
overleving | [ˌoːvərlˈeːvɪŋ]
overmaken | [ˌoːvərmˈaːkən]
overnachting | [ˌoːvərnˈɑxtɪŋ]
overstappen | [ˌoːvərstˈɑpən]
overweldigt | [ˌoːvərʋˈɛldɪxt]
oːkˈeː | [ˈoː (en)lˈɛŋθənd(nl) kˈaː (en)stɹˈɛs(nl) ˈeː (en)lˈɛŋθənd(nl)]
paar | [pˈaːr]
pad | [pˈɑt]
paden | [pˈaːdən]
pakt | [pˈɑkt]
pan | [pˈɑn]
panikeren | [pˌaːnikˈɪːrən]
papier | [paːpˈir]
pardon | [pɑrdˈɔn]
parijs | [paːrˈɛɪs]
paris | [pˈaːrɪs]
pas | [pˈɑs]
paspoort | [pˈɑspɔːrt]
passen | [pˈɑsən]
passport | [pˈɑspɔrt]
pay | [pˈaːj]
paːrˈɛɪs | [pˈeː ˈaː (en)lˈɛŋθənd(nl) ˈɛr (en)stɹˈɛs ˌəʊpənˈɛː smˈɔːlkˌapˈaɪ(nl) s]
peanuts | [pˈeːaːnˌɵts]
people | [pˈeːɔplə]
per | [pˈɛr]
perfect | [pˈɛrfɛkt]
perron | [pɛɾrˈɔn]
personen | [pɛrsˈɔnən]
persoon | [pɛrsˈoːn]
petto | [pˈɛtoː]
pharmacy | [fˈɑrmaːsˌi]
phone | [fˈoːnə]
pijn | [pˈɛɪn]
pijp | [pˈɛɪp]
pin | [pˈɪn]
pin-code | [pˈɪnkˈoːdə]
pinda's | [pˈɪndaːs]
pittoresk | [pˈɪtoːrˌɛsk]
plaatsen | [plˈaːtsən]
planten | [plˈɑntən]
platteland | [plˈɑtəlˌɑnt]
plattelandshuis | [plˈɑtəlˌɑndshœys]
please | [plˈeːaːzə]
pleasure | [plˌeːaːzˈyrə]
plek | [plˈɛk]
plekje | [plˈɛkjə]
plezier | [pleːzˈir]
pleːzˈir | [pˈeː ˈɛl ˈeː (en)lˈɛŋθənd(nl) zˈɛt (en)stɹˈɛs(nl) ˈiː ˈɛr]
plots | [plˈɔts]
plotseling | [plˈɔtsəlˌɪŋ]
plukt | [plˈɵkt]
poging | [pˈoːɣɪŋ]
police | [pˈoːlisə]
politie | [poːlˈitsi]
politiebureau | [poːlˈitsibyrˌoː]
portemonnee | [pˌɔrtəmɔnˈeː]
poːlˈitsi | [pˈeː ˈoː (en)lˈɛŋθənd(nl) ˈɛl (en)stɹˈɛs(nl) ˈiː tˈeː s ˈiː]
poːlˈitsibyrˌoː | [pˈeː ˈoː (en)lˈɛŋθənd(nl) ˈɛl (en)stɹˈɛs(nl) ˈiː tˈeː s ˈiː bˈeː ˈɛɪ ˈɛr (en)sˈɛkəndɹɪstɹˌɛs(nl) ˈoː (en)lˈɛŋθənd(nl)]
praat | [prˈaːt]
praatgraag | [praːtɣrˈaːx]
prachtig | [prˈɑxtəx]
prachtige | [prˈɑxtəɣə]
praten | [prˈaːtən]
precies | [preːsˈis]
prescription | [prˌɛskrɪpʃˈɔn]
price | [prˈisə]
prijs | [prˈɛɪs]
prikken | [prˈɪkən]
probeer | [proːbˈɪr]
probeert | [proːbˈɪrt]
probleem | [prɔblˈeːm]
problem | [prˈɔbləm]
professionals | [prˈoːfɛʃˌoːnɑls]
projecteer | [prˌoːjɛktˈɪr]
projecteren | [prˌoːjɛktˈɪːrən]
proost | [prˈoːst]
prɔblˈeːm | [pˈeː ˈɛr (en)ˌəʊpənˈɔː(nl) bˈeː ˈɛl (en)stɹˈɛs(nl) ˈeː (en)lˈɛŋθənd(nl) ˈɛm]
prˈoːst | [pˈeː ˈɛr (en)stɹˈɛs(nl) ˈoː (en)lˈɛŋθənd(nl) s tˈeː]
prˈɛɪs | [pˈeː ˈɛr (en)stɹˈɛs ˌəʊpənˈɛː smˈɔːlkˌapˈaɪ(nl) s]
public | [pˈɵblɪk]
pœykpˈɛɪn | [pˈeː lˈixaːtˌyroːˌeː ˈɛɪ kˈaː pˈeː (en)stɹˈɛs ˌəʊpənˈɛː smˈɔːlkˌapˈaɪ(nl) ˈɛn]
pɛrsˈɔnən | [pˈeː (en)ˌəʊpənˈɛː(nl) ˈɛr s (en)stɹˈɛs ˌəʊpənˈɔː(nl) ˈɛn (en)ʃwˈɑː(nl) ˈɛn]
pˈɑs | [pˈeː (en)stɹˈɛs ˈalfə(nl) s]
pˈɑspɔːrt | [pˈeː (en)stɹˈɛs ˈalfə(nl) s pˈeː (en)ˌəʊpənˈɔː lˈɛŋθənd(nl) ˈɛr tˈeː]
pˈɑsən | [pˈeː (en)stɹˈɛs ˈalfə(nl) s (en)ʃwˈɑː(nl) ˈɛn]
pˈɛr | [pˈeː (en)stɹˈɛs ˌəʊpənˈɛː(nl) ˈɛr]
pˈɪndaːs | [pˈeː (en)stɹˈɛs smˈɔːlkˌapˈaɪ(nl) ˈɛn dˈeː ˈaː (en)lˈɛŋθənd(nl) s]
pˌeːˌiːˈɛnkˈoːdə | [pˈeː (en)sˈɛkəndɹɪstɹˌɛs(nl) ˈeː (en)lˈɛŋθənd sˈɛkəndɹɪstɹˌɛs(nl) ˈiː (en)lˈɛŋθənd stɹˈɛs ˌəʊpənˈɛː(nl) ˈɛn kˈaː (en)stɹˈɛs(nl) ˈoː (en)lˈɛŋθənd(nl) dˈeː (en)ʃwˈɑː(nl)]
qualifications | [kvˌaːlifˌikaːʃˈɔns]
raadt | [rˈaːt]
raakt | [rˈaːkt]
raam | [rˈaːm]
raar | [rˈaːr]
raast | [rˈaːst]
raken | [rˈaːkən]
rate | [rˈaːtə]
realiseren | [rˌeːaːlizˈɪːrən]
receive | [rˈeːsɛɪvə]
received | [rˈeːsɛɪvˌɛt]
recept | [rəsˈɛpt]
rechtdoor | [rɛxtˈoːr]
rechtop | [rˈɛxtɔp]
rechts | [rˈɛxts]
rechtsaf | [rˈɛxtsɑf]
recommend | [rˈeːkɔmənt]
redde | [rˈɛdə]
redden | [rˈɛdən]
redding | [rˈɛdɪŋ]
reddingshelikopter | [rˈɛdɪŋshˌeːlikˌɔptər]
reddingspost | [rˈɛdɪŋspˌɔst]
reddingsstation | [rˌɛdɪŋstaːʃˈɔn]
reddingswerker | [rˈɛdɪŋsʋˌɛrkər]
reddingswerkers | [rˈɛdɪŋsʋˌɛrkərs]
refund | [rˈeːfɵnt]
regelt | [rˈeːɣəlt]
reimbursed | [rˈɛɪmbɵrsˌɛt]
reis | [rˈɛɪs]
reizen | [rˈɛɪzən]
rekening | [rˈeːkənˌɪŋ]
rekent | [rˈeːkənt]
